Wavelength (nm),Unnamed: 1,Unnamed: 2,Unnamed: 3,THYLTHA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,THYRTHA,Unnamed: 10,Unnamed: 11,Unnamed: 12,Wavelength (nm)2,Abs
711.47398,,,,3805710.5,,,,,615295.0,,,,7564000244.0,-1397404.0
712.4755,,,,3667677.5,,,,,634263.25,,,,756.0,-984311.0
713.47702,,,,3995188.25,,,,,673604.625,,,,7555999756.0,-1278333.0
714.47854,,,,3980565.25,,,,,570785.6875,,,,7552000122.0,-1392604.0
715.48006,,,,4182397.75,,,,,574518.625,,,,7547999878.0,-2045036.0
716.48158,,,,4255395.5,,,,,582994.75,,,,7544000244.0,-1179625.0
717.4831,,,,4465638.5,,,,,619856.125,,,,754.0,-242484.0
718.48462,,,,4726762.0,,,,,616871.9375,,,,7535999756.0,-220906.0
719.48614,,,,4991336.0,,,,,549086.25,,,,7532000122.0,-1057034.0
720.48766,,,,5138150.0,,,,,587328.125,,,,7527999878.0,-1011015.0
721.48918,,,,5746300.5,,,,,523862.75,,,,7524000244.0,-934771.0
722.4907,,,,6287083.5,,,,,580342.8125,,,,752.0,-995106.0
723.49222,,,,6484542.5,,,,,572642.375,,,,7515999756.0,-739915.0
724.49374,,,,7020928.0,,,,,574729.1875,,,,7512000122.0,-1022895.0
725.49526,,,,7793154.5,,,,,559137.4375,,,,7507999878.0,-43808.0
726.49678,,,,7774046.0,,,,,590583.75,,,,7504000244.0,-871224.0
727.4983,,,,8727895.0,,,,,565334.5625,,,,750.0,-1913721.0
728.49982,,,,9546481.0,,,,,531018.625,,,,7495999756.0,-880317.0
729.50134,,,,9860694.0,,,,,559833.0,,,,7492000122.0,-671635.0
730.50286,,,,10166060.0,,,,,576619.0,,,,7487999878.0,-696912.0
731.50438,,,,10593342.0,,,,,656895.4375,,,,7484000244.0,-1426044.0
732.5059,,,,11014605.0,,,,,545298.4375,,,,748.0,-1112396.0
733.50742,,,,11031530.0,,,,,662432.25,,,,7475999756.0,-494865.0
734.50894,,,,11195341.0,,,,,592196.3125,,,,7472000122.0,-206521.0
735.51046,,,,11919807.0,,,,,588761.1875,,,,7467999878.0,-861975.0
736.51198,,,,11720843.0,,,,,651710.625,,,,7464000244.0,-71247.0
737.5135,,,,11744503.0,,,,,609538.875,,,,746.0,-644186.0
738.51502,,,,11351016.0,,,,,588239.4375,,,,7455999756.0,-402961.0
739.51654,,,,11475482.0,,,,,599450.0,,,,7452000122.0,588891.0
740.51806,,,,11856132.0,,,,,570891.375,,,,7447999878.0,328462.0
741.51958,,,,11628495.0,,,,,591738.4375,,,,7444000244.0,-379426.0
742.5211,,,,11469482.0,,,,,465407.6563,,,,744.0,204081.0
743.52262,,,,11250377.0,,,,,502517.2188,,,,7435999756.0,-304726.0
744.52414,,,,11060127.0,,,,,611879.125,,,,7432000122.0,548844.0
745.52566,,,,10992805.0,,,,,533036.0625,,,,7427999878.0,-542903.0
746.52718,,,,10497761.0,,,,,592916.75,,,,7424000244.0,-230479.0
747.5287,,,,10122129.0,,,,,502857.125,,,,742.0,1273617.0
748.53022,,,,9741666.0,,,,,535741.3125,,,,7415999756.0,821699.0
749.53174,,,,9343303.0,,,,,501127.4688,,,,7412000122.0,893467.0
750.53326,,,,9089571.0,,,,,464695.6563,,,,7407999878.0,986209.0
751.53478,,,,8837043.0,,,,,441896.25,,,,7404000244.0,1575738.0
752.5363,,,,8087118.0,,,,,429623.7188,,,,740.0,845611.0
753.53782,,,,7878810.0,,,,,459109.8125,,,,7395999756.0,2002619.0
754.53934,,,,7758568.5,,,,,402852.0938,,,,7392000122.0,114297.0
755.54086,,,,7207029.5,,,,,418118.1563,,,,7387999878.0,1317521.0
756.54238,,,,6824358.0,,,,,454734.1875,,,,7384000244.0,1783239.0
757.5439,,,,6399748.5,,,,,351960.0,,,,738.0,2018716.0
758.54542,,,,6260907.5,,,,,390072.9375,,,,7375999756.0,1673356.0
759.54694,,,,5890890.0,,,,,403851.6563,,,,7372000122.0,2615014.0
760.54846,,,,5596839.5,,,,,334167.4063,,,,7367999878.0,2485681.0
761.54998,,,,5301318.0,,,,,332882.3125,,,,7364000244.0,2241936.0
762.5515,,,,4900985.0,,,,,343774.375,,,,736.0,3073366.0
763.55302,,,,4811303.0,,,,,279171.8125,,,,7355999756.0,2586863.0
764.55454,,,,4512134.0,,,,,291545.5,,,,7352000122.0,2363154.0
765.55606,,,,4204435.5,,,,,289206.3125,,,,7347999878.0,280949.0
766.55758,,,,3904906.75,,,,,209880.9531,,,,7344000244.0,3549166.0
767.5591,,,,3821203.5,,,,,226244.6094,,,,734.0,3381464.0
768.56062,,,,3702396.5,,,,,211667.7969,,,,7335999756.0,3259023.0
769.56214,,,,3414709.5,,,,,205348.3438,,,,7332000122.0,3618489.0
770.56366,,,,3124174.0,,,,,251226.125,,,,7327999878.0,4139625.0
771.56518,,,,3191372.0,,,,,184912.4531,,,,7324000244.0,4705296.0
772.5667,,,,2971360.0,,,,,225221.9844,,,,732.0,5164786.0
773.56822,,,,2803878.0,,,,,225006.7656,,,,7315999756.0,4619761.0
774.56974,,,,2721067.5,,,,,154533.4531,,,,7312000122.0,5538681.0
775.57126,,,,2670798.75,,,,,222942.7813,,,,7307999878.0,5742287.0
776.57278,,,,2544747.0,,,,,148073.2344,,,,7304000244.0,592195.0
777.5743,,,,2440980.75,,,,,186746.7813,,,,730.0,6146214.0
778.57582,,,,2247235.0,,,,,189571.4375,,,,7295999756.0,6176382.0
779.57734,,,,2234828.75,,,,,134353.2656,,,,7292000122.0,701657.0
780.57886,,,,2205848.75,,,,,116359.7031,,,,7287999878.0,6545394.0
781.58038,,,,2085423.75,,,,,170992.5469,,,,7284000244.0,7435168.0
782.5819,,,,2029505.25,,,,,150706.8125,,,,728.0,7441356.0
783.58342,,,,2061031.75,,,,,113914.0,,,,7275999756.0,8676458.0
784.58494,,,,1905290.875,,,,,133165.1563,,,,7272000122.0,9110247.0
785.58646,,,,1887193.75,,,,,90433.4375,,,,7267999878.0,9042817.0
786.58798,,,,1723787.0,,,,,134976.5156,,,,7264000244.0,9264706.0
787.5895,,,,1803471.75,,,,,73926.1875,,,,726.0,9722298.0
788.59102,,,,1791436.125,,,,,96367.35938,,,,7255999756.0,9369517.0
789.59254,,,,1616733.875,,,,,94170.07813,,,,7252000122.0,10383038.0
790.59406,,,,1722929.125,,,,,79536.41406,,,,7247999878.0,10414907.0
791.59558,,,,1704058.25,,,,,105327.4375,,,,7244000244.0,11517841.0
792.5971,,,,1693652.0,,,,,71790.625,,,,724.0,11638485.0
793.59862,,,,1554941.375,,,,,156295.3906,,,,7235999756.0,12901999.0
794.60014,,,,1486020.875,,,,,163688.6094,,,,7232000122.0,13258863.0
795.60166,,,,1507398.75,,,,,113703.1484,,,,7227999878.0,13463666.0
796.60318,,,,1553570.0,,,,,97820.42188,,,,7224000244.0,14036861.0
797.6047,,,,1455288.25,,,,,125827.1641,,,,722.0,14568677.0
798.60622,,,,1474702.375,,,,,80050.28906,,,,7215999756.0,15800031.0
