Wavelength (nm);Abs_HP;Wavelength (nm);Abs_AT
671,5999756;0,337598056;721,5999756;0,016090028
671,2000122;0,333499879;721,2000122;0,016752223
670,7999878;0,329376936;720,7999878;0,017421894
670,4000244;0,325286746;720,4000244;0,018171085
670;0,320745617;720;0,018977005
669,5999756;0,316266298;719,5999756;0,019954976
669,2000122;0,311736405;719,2000122;0,020719089
668,7999878;0,306747586;718,7999878;0,021268563
668,4000244;0,301702321;718,4000244;0,022068763
668;0,296537042;718;0,02299851
667,5999756;0,291498333;717,5999756;0,024079047
667,2000122;0,286478549;717,2000122;0,024820143
666,7999878;0,281181216;716,7999878;0,025912674
666,4000244;0,276076645;716,4000244;0,02682093
666;0,270902395;716;0,02793524
665,5999756;0,265818119;715,5999756;0,028973214
665,2000122;0,260620445;715,2000122;0,030296806
664,7999878;0,255720586;714,7999878;0,031183137
664,4000244;0,250718176;714,4000244;0,032523841
664;0,24582614;714;0,033626944
663,5999756;0,241252154;713,5999756;0,034983955
663,2000122;0,23646982;713,2000122;0,036301341
662,7999878;0,231903017;712,7999878;0,037536927
662,4000244;0,227518231;712,4000244;0,038827784
662;0,223459974;712;0,040367942
661,5999756;0,219375521;711,5999756;0,041653521
661,2000122;0,215505511;711,2000122;0,043436136
660,7999878;0,211991295;710,7999878;0,044805769
660,4000244;0,208401814;710,4000244;0,046524115
660;0,20510754;710;0,048140012
659,5999756;0,201876074;709,5999756;0,049888119
659,2000122;0,198998615;709,2000122;0,051799007
658,7999878;0,196066424;708,7999878;0,053645138
658,4000244;0,193478078;708,4000244;0,055660933
658;0,190917864;708;0,057791028
657,5999756;0,18861115;707,5999756;0,059655558
657,2000122;0,186466947;707,2000122;0,061740302
656,7999878;0,184403226;706,7999878;0,064031273
656,4000244;0,182436407;706,4000244;0,066326097
656;0,180634573;706;0,068750858
655,5999756;0,178836614;705,5999756;0,071578391
655,2000122;0,177334577;705,2000122;0,074061468
654,7999878;0,175886467;704,7999878;0,076804422
654,4000244;0,174486652;704,4000244;0,079919077
654;0,173099205;704;0,083159231
653,5999756;0,171838507;703,5999756;0,086252958
653,2000122;0,170428664;703,2000122;0,089824311
652,7999878;0,169288471;702,7999878;0,093565188
652,4000244;0,167951569;702,4000244;0,09728127
652;0,166753277;702;0,101113878
651,5999756;0,165491819;701,5999756;0,105474204
651,2000122;0,163912743;701,2000122;0,109973304
650,7999878;0,162331596;700,7999878;0,114593849
650,4000244;0,160917893;700,4000244;0,119704098
650;0,159207404;700;0,124790765
649,5999756;0,157485768;699,5999756;0,130306065
649,2000122;0,155652165;699,2000122;0,136025399
648,7999878;0,153846473;698,7999878;0,14254792
648,4000244;0,151807845;698,4000244;0,149545133
648;0,149722859;698;0,155967295
647,5999756;0,14745529;697,5999756;0,163590848
647,2000122;0,145388559;697,2000122;0,171238899
646,7999878;0,143105462;696,7999878;0,179084763
646,4000244;0,140819505;696,4000244;0,187426254
646;0,138636962;696;0,196234822
645,5999756;0,136250675;695,5999756;0,205638647
645,2000122;0,133810848;695,2000122;0,215419889
644,7999878;0,13168262;694,7999878;0,225656509
644,4000244;0,129478127;694,4000244;0,236219406
644;0,12732926;694;0,247124031
643,5999756;0,124964654;693,5999756;0,259112328
643,2000122;0,122875392;693,2000122;0,271299511
642,7999878;0,120878495;692,7999878;0,284271807
642,4000244;0,118936755;692,4000244;0,297875226
642;0,116946556;692;0,312110961
641,5999756;0,11510703;691,5999756;0,326598465
641,2000122;0,113150664;691,2000122;0,34144327
640,7999878;0,111362532;690,7999878;0,357654512
640,4000244;0,109765984;690,4000244;0,374073774
640;0,108341776;690;0,391170621
639,5999756;0,1066228;689,5999756;0,408669949
639,2000122;0,105108663;689,2000122;0,426879823
638,7999878;0,103667751;688,7999878;0,445266932
638,4000244;0,102411598;688,4000244;0,464090377
