Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
719,48614;2971617,25;16105435;4991336;19504938;0,82972805;8933850
720,48766;3105232,75;16709868;5138150;20291818;0,85037456;8982707
721,48918;3483581,5;17424286;5746300,5;21318090;0,874057634;9417086
722,4907;3719026,25;17955910;6287083,5;22539122;0,917950201;9735463
723,49222;4040533,5;18307014;6484542,5;23880370;0,937766005;9880046
724,49374;4324683;19001220;7020928;25766854;0,96139618;10548740
725,49526;4567097,5;20502272;7793154,5;26572678;0,962814029;10893556
726,49678;5183904;21741412;7774046;28784866;0,974526474;11616174
727,4983;5378654,5;22353404;8727895;30894894;0,997364014;12314238
728,49982;5728202,5;24252732;9546481;31881018;1;13560348
729,50134;5982109;24866376;9860694;34918216;0,989104274;14296392
730,50286;6524420,5;26357636;10166060;37099568;0,994279284;15115627
731,50438;6614374;27942622;10593342;38263556;0,964488798;16359326
732,5059;7089084,5;29426260;11014605;40394492;0,982188976;18204702
733,50742;7219112;30157582;11031530;41903988;0,928429365;19353926
734,50894;7588796;31273580;11195341;42555064;0,953133811;21287556
735,51046;7730979,5;32411252;11919807;44305500;0,91312918;22380368
736,51198;7803562;33138354;11720843;44469456;0,908433201;24528388
737,5135;7988000;35185616;11744503;45992508;0,895164509;26310184
738,51502;8105580;34809104;11351016;46390084;0,867552695;28234288
739,51654;8091556;35704936;11475482;47526864;0,842080905;30741976
740,51806;8157200,5;36899088;11856132;46440436;0,847150328;32964892
741,51958;7885992,5;37553496;11628495;46786868;0,804244955;35780860
742,5211;7948033;36781644;11469482;45341716;0,757767302;36737088
743,52262;8018418,5;37689200;11250377;44848056;0,736567566;39749260
744,52414;7464820;37699076;11060127;45330868;0,724271554;41441052
745,52566;7543948,5;37366600;10992805;43585060;0,703605535;43573828
746,52718;7274630;37006080;10497761;42979728;0,670627783;44730408
747,5287;7111435,5;36360612;10122129;42010496;0,616288338;47155924
748,53022;6927524;35755820;9741666;41158240;0,612456141;46925612
749,53174;7007390;35977800;9343303;39506612;0,590212211;48223448
750,53326;6554880;33963836;9089571;38229588;0,571485612;48027216
751,53478;6099351;33728504;8837043;36093804;0,535266064;48840632
752,5363;5896156,5;33370704;8087118;35516404;0,501340555;49243912
753,53782;5715722;32391998;7878810;34217516;0,482898272;48552640
754,53934;5243743,5;30614254;7758568,5;31481976;0,467390963;47260600
755,54086;5133511;29367172;7207029,5;30657272;0,436420672;46859908
756,54238;4919819;28123854;6824358;29790554;0,427278405;45666912
757,5439;4753687;28003320;6399748,5;27914808;0,405220357;44418520
758,54542;4480650;26413722;6260907,5;26819980;0,395420618;44000740
759,54694;4249009;24735396;5890890;25153754;0,373946635;42054832
760,54846;3940427,5;23834862;5596839,5;23808268;0,358687281;39269972
761,54998;3699157,25;22320180;5301318;22674950;0,337093488;38972524
762,5515;3606621;20880068;4900985;21659860;0,330529945;37249160
763,55302;3353962,25;20787992;4811303;20546970;0,323029294;34360084
764,55454;3219487,75;19431656;4512134;20001326;0,305905951;32691390
765,55606;2953642,5;18545414;4204435,5;18707444;0,287376932;31140500
766,55758;2760468,25;17612764;3904906,75;17976758;0,284908344;29029632
767,5591;2685557,5;16621965;3821203,5;16236494;0,269582945;26583586
768,56062;2499648,25;15960974;3702396,5;15156840;0,261246566;25607272
769,56214;2384203,25;15274722;3414709,5;14335710;0,247736596;24771824
770,56366;2302389,25;13882495;3124174;14032409;0,243019532;23751576
771,56518;2218936,25;13035824;3191372;13545305;0,242890046;22403864
772,5667;2067464,5;12983038;2971360;13034290;0,226332838;20964948
773,56822;1886414,25;12215959;2803878;12314787;0,216802245;19994578
774,56974;1826438,5;11833037;2721067,5;11655090;0,210875535;18952388
775,57126;1701681,625;10817531;2670798,75;10628647;0,209738257;17740142
