wavelength_fluor;em_rt_hp;wavelength_abs;abs_hp
795,60166;33467,51563;722,7999878;0,002474148
796,60318;116498,625;722,4000244;0,00259465
797,6047;74097,29688;722;0,00408561
798,60622;129251,125;721,5999756;0,004744524
799,60774;55303,33203;721,2000122;0,004393486
800,60926;86714,00781;720,7999878;0,004906522
801,61078;154554,0781;720,4000244;0,00597874
802,6123;57231,0625;720;0,007345329
803,61382;;719,5999756;0,007705665
804,61534;;719,2000122;0,007994181
805,61686;;718,7999878;0,008320884
806,61838;;718,4000244;0,009494434
807,6199;;718;0,010119957
808,62142;;717,5999756;0,010952525
809,62294;;717,2000122;0,012033327
810,62446;;716,7999878;0,012744375
811,62598;;716,4000244;0,013594093
812,6275;;716;0,014598392
813,62902;;715,5999756;0,015344146
814,63054;;715,2000122;0,016126294
815,63206;;714,7999878;0,016341511
816,63358;;714,4000244;0,017510716
817,6351;;714;0,019080617
818,63662;;713,5999756;0,019728616
819,63814;;713,2000122;0,020921763
820,63966;;712,7999878;0,021871543
821,64118;;712,4000244;0,023492999
822,6427;;712;0,02419984
823,64422;;711,5999756;0,025255332
824,64574;;711,2000122;0,026123147
825,64726;;710,7999878;0,028500726
826,64878;;710,4000244;0,029410927
827,6503;;710;0,030319789
828,65182;;709,5999756;0,031530853
829,65334;;709,2000122;0,033052012
830,65486;;708,7999878;0,033569414
831,65638;;708,4000244;0,035504144
832,6579;;708;0,036936365
833,65942;;707,5999756;0,038615365
834,66094;;707,2000122;0,040279746
835,66246;;706,7999878;0,042123601
836,66398;;706,4000244;0,044236433
837,6655;;706;0,046032123
838,66702;;705,5999756;0,047861714
839,66854;;705,2000122;0,049173817
840,67006;;704,7999878;0,051606648
841,67158;;704,4000244;0,054370977
842,6731;;704;0,056315117
843,67462;;703,5999756;0,059399523
844,67614;;703,2000122;0,062080048
845,67766;;702,7999878;0,064758167
846,67918;;702,4000244;0,066807255
847,6807;;702;0,070536904
848,68222;;701,5999756;0,07410337
849,68374;;701,2000122;0,076412059
850,68526;;700,7999878;0,080153346
851,68678;;700,4000244;0,083978958
852,6883;;700;0,087697744
;;699,5999756;0,092103213
;;699,2000122;0,096488498
;;698,7999878;0,100612454
;;698,4000244;0,106066763
;;698;0,111532137
;;697,5999756;0,116057776
;;697,2000122;0,121951543
;;696,7999878;0,128402665
;;696,4000244;0,134044901
;;696;0,140876383
;;695,5999756;0,147589922
;;695,2000122;0,154017016
;;694,7999878;0,162893444
;;694,4000244;0,170350671
;;694;0,17838712
;;693,5999756;0,187511593
;;693,2000122;0,196684644
;;692,7999878;0,205751658
;;692,4000244;0,215274692
;;692;0,225476623
;;691,5999756;0,236318007
;;691,2000122;0,246629164
;;690,7999878;0,25830105
;;690,4000244;0,269857854
;;690;0,282309651
;;689,5999756;0,294839472
;;689,2000122;0,306018263
;;688,7999878;0,31934616
;;688,4000244;0,332089365
;;688;0,344604522
;;687,5999756;0,356976509
;;687,2000122;0,369662523
;;686,7999878;0,382036567
;;686,4000244;0,393936396
;;686;0,404598296
;;685,5999756;0,415720612
;;685,2000122;0,426309884
;;684,7999878;0,435603827
;;684,4000244;0,445538193
;;684;0,454031706
;;683,5999756;0,461620778
