Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
428,7999878;0,382273018;671,2000122;0,333499879
429,1999817;0,3849774;670,7999878;0,329376936
429,6000061;0,387313396;670,4000244;0,325286746
430;0,389635772;670;0,320745617
430,3999939;0,391838789;669,5999756;0,316266298
430,7999878;0,39358902;669,2000122;0,311736405
431,1999817;0,395041317;668,7999878;0,306747586
431,6000061;0,396200478;668,4000244;0,301702321
432;0,396965146;668;0,296537042
432,3999939;0,397280663;667,5999756;0,291498333
432,7999878;0,397265703;667,2000122;0,286478549
433,1999817;0,396862775;666,7999878;0,281181216
433,6000061;0,39612183;666,4000244;0,276076645
434;0,394884884;666;0,270902395
434,3999939;0,393216938;665,5999756;0,265818119
434,7999878;0,390945643;665,2000122;0,260620445
435,1999817;0,388502359;664,7999878;0,255720586
435,6000061;0,385686874;664,4000244;0,250718176
436;0,382165253;664;0,24582614
436,3999939;0,378578901;663,5999756;0,241252154
436,7999878;0,37465319;663,2000122;0,23646982
437,1999817;0,370408356;662,7999878;0,231903017
437,6000061;0,366000831;662,4000244;0,227518231
438;0,36122492;662;0,223459974
438,3999939;0,356541544;661,5999756;0,219375521
438,7999878;0,351310521;661,2000122;0,215505511
439,1999817;0,346213818;660,7999878;0,211991295
439,6000061;0,34113428;660,4000244;0,208401814
440;0,336313248;660;0,20510754
440,3999939;0,331208199;659,5999756;0,201876074
440,7999878;0,326220483;659,2000122;0,198998615
441,1999817;0,32163778;658,7999878;0,196066424
441,6000061;0,316515029;658,4000244;0,193478078
442;0,312092066;658;0,190917864
442,3999939;0,307761073;657,5999756;0,18861115
442,7999878;0,303709388;657,2000122;0,186466947
443,1999817;0,299764097;656,7999878;0,184403226
443,6000061;0,296244115;656,4000244;0,182436407
444;0,292769164;656;0,180634573
444,3999939;0,289386243;655,5999756;0,178836614
444,7999878;0,286631972;655,2000122;0,177334577
445,1999817;0,28418991;654,7999878;0,175886467
445,6000061;0,281879604;654,4000244;0,174486652
446;0,279541642;654;0,173099205
446,3999939;0,277870476;653,5999756;0,171838507
446,7999878;0,276218504;653,2000122;0,170428664
447,1999817;0,274880558;652,7999878;0,169288471
447,6000061;0,273745984;652,4000244;0,167951569
448;0,272899628;652;0,166753277
448,3999939;0,272225708;651,5999756;0,165491819
448,7999878;0,271751195;651,2000122;0,163912743
449,1999817;0,271273971;650,7999878;0,162331596
449,6000061;0,270960391;650,4000244;0,160917893
450;0,270968765;650;0,159207404
450,3999939;0,271062195;649,5999756;0,157485768
450,7999878;0,271297872;649,2000122;0,155652165
451,1999817;0,271578908;648,7999878;0,153846473
451,6000061;0,271875471;648,4000244;0,151807845
452;0,272233367;648;0,149722859
452,3999939;0,272858381;647,5999756;0,14745529
452,7999878;0,273127943;647,2000122;0,145388559
453,1999817;0,273715854;646,7999878;0,143105462
453,6000061;0,274128407;646,4000244;0,140819505
454;0,274567515;646;0,138636962
454,3999939;0,27499786;645,5999756;0,136250675
454,7999878;0,275537372;645,2000122;0,133810848
455,1999817;0,275846958;644,7999878;0,13168262
455,6000061;0,276331246;644,4000244;0,129478127
456;0,276392281;644;0,12732926
456,3999939;0,276535153;643,5999756;0,124964654
456,7999878;0,276337504;643,2000122;0,122875392
457,1999817;0,276363134;642,7999878;0,120878495
457,6000061;0,276271224;642,4000244;0,118936755
458;0,276023507;642;0,116946556
458,3999939;0,275520921;641,5999756;0,11510703
458,7999878;0,274955839;641,2000122;0,113150664
459,1999817;0,274300516;640,7999878;0,111362532
459,6000061;0,273762137;640,4000244;0,109765984
460;0,273114502;640;0,108341776
460,3999939;0,272231281;639,5999756;0,1066228
460,7999878;0,2711685;639,2000122;0,105108663
461,1999817;0,27004233;638,7999878;0,103667751
461,6000061;0,269095004;638,4000244;0,102411598
462;0,26782766;638;0,100977399
462,3999939;0,266422302;637,5999756;0,099811465
462,7999878;0,265229881;637,2000122;0,098780893
463,1999817;0,26379171;636,7999878;0,097692631
463,6000061;0,262145549;636,4000244;0,09655448
464;0,260713846;636;0,095629536
464,3999939;0,259192348;635,5999756;0,094891295
464,7999878;0,257760584;635,2000122;0,09396442
465,1999817;0,256062806;634,7999878;0,09338785
465,6000061;0,254371852;634,4000244;0,092613265
466;0,252744079;634;0,092030868
466,3999939;0,250921667;633,5999756;0,091542207
466,7999878;0,249314562;633,2000122;0,091254696
467,1999817;0,247630134;632,7999878;0,090670101
467,6000061;0,245695218;632,4000244;0,090213209
468;0,243820712;632;0,090136521
468,3999939;0,241976902;631,5999756;0,089869931
468,7999878;0,24028787;631,2000122;0,089614928
469,1999817;0,238315001;630,7999878;0,089480385
469,6000061;0,236382201;630,4000244;0,089231588
470;0,234768704;630;0,089117028
470,3999939;0,232689664;629,5999756;0,089077465
470,7999878;0,230565891;629,2000122;0,089056902
471,1999817;0,228465423;628,7999878;0,088862911
471,6000061;0,226414472;628,4000244;0,088757247
472;0,22438392;628;0,088747181
472,3999939;0,222477391;627,5999756;0,088566467
472,7999878;0,220396116;627,2000122;0,088454276
473,1999817;0,218162596;626,7999878;0,08852841
473,6000061;0,215860888;626,4000244;0,088396303
474;0,213802904;626;0,08820416
474,3999939;0,211796418;625,5999756;0,088036798
474,7999878;0,209367186;625,2000122;0,087845229
475,1999817;0,207268164;624,7999878;0,087804005
475,6000061;0,204835683;624,4000244;0,087573804
476;0,202512026;624;0,087496758
476,3999939;0,200331807;623,5999756;0,0871436
476,7999878;0,198081031;623,2000122;0,086912036
477,1999817;0,195669353;622,7999878;0,086804695
477,6000061;0,193355098;622,4000244;0,086424276
478;0,191000029;622;0,086121313
478,3999939;0,188696727;621,5999756;0,085630715
478,7999878;0,18627587;621,2000122;0,085285716
