Wavelength (nm);Abs_Eva;Abs_Jasmijn;Abs_Mads;Abs_Koen;Abs_Nicco;Abs_model
751,5999756;0,000116166;-0,012207803;-0,000739915;-0,019591324;-2,26E-05;0,001039815
751,2000122;-0,000105498;-0,012613933;-0,001022895;-0,019581029;0,000446089;0,00160624
750,7999878;-0,000700013;-0,011753325;-0,00043808;-0,020438677;0,000336803;0,001674266
750,4000244;7,05E-05;-0,012957679;-0,000871224;-0,021085132;0,00165275;0,001841544
750;-0,001019435;-0,013262439;-0,001913721;-0,021419283;0,001033146;0,001976042
749,5999756;-0,000177852;-0,01247018;-0,000880317;-0,020956637;0,000474257;0,001007018
749,2000122;0,000709544;-0,012145884;-0,000671635;-0,020031745;0,001541654;0,002331766
748,7999878;0,000514374;-0,012625148;-0,000696912;-0,020676089;0,001583714;0,001655037
748,4000244;0,000652869;-0,012304691;-0,001426044;-0,020253122;0,001063921;0,001967252
748;0,00096369;-0,012320695;-0,001112396;-0,019410456;0,000480995;0,000577667
747,5999756;0,00073607;-0,012657783;-0,000494865;-0,020389086;0,002164638;0,002944314
747,2000122;0,001630898;-0,012088941;-0,000206521;-0,019555889;0,000575801;0,001795819
746,7999878;0,000810469;-0,011832681;-0,000861975;-0,020795437;0,000356208;0,000729665
746,4000244;0,00114785;-0,012453529;-0,00071247;-0,020470288;0,001460714;0,002168202
746;0,001252615;-0,011614379;-0,000644186;-0,019600231;0,001059717;0,002295202
745,5999756;0,002314278;-0,011390116;-0,000402961;-0,01937139;-5,43E-05;0,001099992
745,2000122;0,001877134;-0,011276226;0,000588891;-0,018947052;0,001138039;0,002240635
744,7999878;0,002230279;-0,010901864;0,000328462;-0,019384116;0,000766564;0,001869048
744,4000244;0,001813495;-0,012200806;-0,000379426;-0,020595765;0,001211702;0,001504429
744;0,001527548;-0,011748437;0,000204081;-0,020717949;0,001489415;0,001678788
743,5999756;0,002491019;-0,011486531;-0,000304726;-0,020860231;0,00128582;0,002407767
743,2000122;0,00244559;-0,010769918;0,000548844;-0,019749213;0,000832877;0,001347252
742,7999878;0,001328998;-0,012109736;-0,000542903;-0,021359896;0,001368311;0,002588452
742,4000244;0,00268536;-0,011237079;-0,000230479;-0,020073222;0,001237039;0,00240709
742;0,003123084;-0,010641366;0,001273617;-0,019481594;0,001248487;0,002102986
741,5999756;0,002395065;-0,010921756;0,000821699;-0,019803973;0,001651321;0,001588755
741,2000122;0,002858187;-0,009463237;0,000893467;-0,019583059;0,001063532;0,001830626
740,7999878;0,003168036;-0,010165471;0,000986209;-0,01964655;0,001071239;0,000930094
740,4000244;0,003797354;-0,0097454;0,001575738;-0,019227333;0,001608371;0,001340708
740;0,003224884;-0,010488773;0,000845611;-0,02013501;0,001756987;0,001951781
739,5999756;0,004302287;-0,009425852;0,002002619;-0,019038782;0,001936361;0,001960986
739,2000122;0,002941629;-0,010020197;0,00114297;-0,019774491;0,001697368;0,002672181
738,7999878;0,00376299;-0,010054901;0,001317521;-0,019252146;0,000994693;0,001488844
738,4000244;0,00451596;-0,0098025;0,001783239;-0,019408377;0,001881787;0,002530958
738;0,004383811;-0,010095673;0,002018716;-0,019247342;0,002023996;0,002210453
737,5999756;0,003898242;-0,009894106;0,001673356;-0,01918409;0,002173379;0,002167681
737,2000122;0,005142783;-0,009072351;0,002615014;-0,018315323;0,002097549;0,002291481
736,7999878;0,005900249;-0,009300804;0,002485681;-0,018367039;0,001459259;0,00222864
736,4000244;0,005088852;-0,009231525;0,002241936;-0,018640008;0,001439702;0,001848017
736;0,005628041;-0,009197972;0,003073366;-0,017924877;0,003034811;0,002230852
735,5999756;0,005581628;-0,009489425;0,002586863;-0,018662177;0,002737378;0,002712528
735,2000122;0,006108041;-0,008988786;0,002363154;-0,018681021;0,002450354;0,00248136
734,7999878;0,005435681;-0,008814761;0,00280949;-0,018413389;0,002088654;0,002176241
734,4000244;0,006224225;-0,008211599;0,003549166;-0,018531028;0,003403275;0,002993652
734;0,006939443;-0,007591369;0,003381464;-0,017763888;0,002934853;0,002664003
733,5999756;0,00701899;-0,007610141;0,003259023;-0,017954037;0,002696873;0,002296139
733,2000122;0,007448993;-0,007098723;0,003618489;-0,017856214;0,002917862;0,002811287
732,7999878;0,006868405;-0,007950092;0,004139625;-0,018483352;0,003110465;0,002898421
732,4000244;0,008250648;-0,006927097;0,004705296;-0,016868867;0,002651136;0,002852064
732;0,008818558;-0,00650888;0,005164786;-0,017196624;0,00209383;0,002389572
731,5999756;0,008335212;-0,006109965;0,004619761;-0,017424721;0,002686272;0,001931395
731,2000122;0,009078976;-0,00517973;0,005538681;-0,016845658;0,002739957;0,003347472
730,7999878;0,009045407;-0,006041605;0,005742287;-0,016755607;0,003058924;0,003142352
730,4000244;0,009349732;-0,005069675;0,00592195;-0,016797995;0,003261005;0,003124205
730;0,009222027;-0,005130053;0,006146214;-0,017002856;0,003300937;0,003143395
729,5999756;0,010203295;-0,004802377;0,006176382;-0,016210316;0,00375957;0,003233621
729,2000122;0,010716452;-0,004954678;0,00701657;-0,016578339;0,003482516;0,003846555
728,7999878;0,010476637;-0,004723979;0,006545394;-0,016588604;0,004297477;0,003235681
728,4000244;0,011515928;-0,00435807;0,007435168;-0,016810099;0,003128403;0,002703932
728;0,011883812;-0,003521449;0,007441356;-0,01557509;0,004173444;0,003570724
727,5999756;0,013078247;-0,002338238;0,008676458;-0,014875554;0,004252225;0,003868571
727,2000122;0,013219553;-0,002962976;0,009110247;-0,014890112;0,00453257;0,003314579
726,7999878;0,013935114;-0,001819178;0,009042817;-0,014965296;0,004231757;0,003584113
726,4000244;0,013236766;-0,002676988;0,009264706;-0,015480529;0,004596791;0,003542694
726;0,013913864;-0,001455611;0,009722298;-0,014629292;0,004953492;0,003843368
725,5999756;0,014293578;-0,001486466;0,009369517;-0,014513195;0,004716496;0,004106959
725,2000122;0,015738266;-0,000567309;0,010383038;-0,014281558;0,00409865;0,003781373
724,7999878;0,015760463;-0,001052696;0,010414907;-0,013724421;0,004142396;0,003837362
724,4000244;0,016364466;-0,0002965;0,011517841;-0,013309789;0,004920214;0,004231731
724;0,016414251;0,000234668;0,011638485;-0,013356682;0,005183334;0,004927074
723,5999756;0,017572923;0,001418691;0,012901999;-0,013172997;0,006058322;0,004786398
723,2000122;0,018531876;0,001829742;0,013258863;-0,013023702;0,005065045;0,004146629
722,7999878;0,018825514;0,002474148;0,013463666;-0,012701579;0,004969358;0,004019296
722,4000244;0,019593436;0,00259465;0,014036861;-0,011616848;0,005936095;0,004559225
722;0,021125618;0,00408561;0,014568677;-0,011387998;0,005569646;0,004017101
721,5999756;0,021188727;0,004744524;0,015800031;-0,010509946;0,006063546;0,005863515
721,2000122;0,021875136;0,004393486;0,016332023;-0,010794158;0,006608862;0,005640052
720,7999878;0,022857398;0,004906522;0,016621917;-0,00991536;0,007336667;0,006218658
720,4000244;0,02241738;0,00597874;0,017396403;-0,010594987;0,00673935;0,006375822
720;0,02442071;0,007345329;0,01883203;-0,009322543;0,006995498;0,005432222
719,5999756;0,024985228;0,007705665;0,019183386;-0,009776179;0,007815423;0,006754126
719,2000122;0,02540192;0,007994181;0,019583687;-0,008205604;0,007484228;0,00665967
718,7999878;0,026400838;0,008320884;0,019637335;-0,00844741;0,00763321;0,006628969
718,4000244;0,027457206;0,009494434;0,020919427;-0,008208602;0,007841781;0,007416471
718;0,028028144;0,010119957;0,021976581;-0,007847702;0,007966945;0,006956935
717,5999756;0,030648483;0,010952525;0,023079772;-0,006969131;0,00734138;0,007059111
717,2000122;0,030872215;0,012033327;0,02370408;-0,006507554;0,008593227;0,006369885
716,7999878;0,03136972;0,012744375;0,024990985;-0,006436706;0,008511755;0,008070941
716,4000244;0,032428522;0,013594093;0,025262192;-0,005756258;0,008646222;0,007396802
716;0,033233669;0,014598392;0,025940619;-0,005175688;0,008670279;0,00771884
715,5999756;0,034714855;0,015344146;0,027123673;-0,004458672;0,009137872;0,008560092
715,2000122;0,036108717;0,016126294;0,027826736;-0,003942859;0,009868686;0,008531316
714,7999878;0,036691178;0,016341511;0,028819857;-0,003487246;0,009321696;0,008650658
714,4000244;0,037267737;0,017510716;0,029783729;-0,002741557;0,00975486;0,008919535
714;0,038839504;0,019080617;0,031837262;-0,001693725;0,010031442;0,00899379
713,5999756;0,039529145;0,019728616;0,032021478;-0,001773961;0,01032901;0,009350711
713,2000122;0,040794522;0,020921763;0,03314152;-0,00146784;0,010077776;0,009738419
712,7999878;0,042230517;0,021871543;0,034605566;-0,000494192;0,010685013;0,009751418
712,4000244;0,043783903;0,023492999;0,035999585;0,00063734;0,011808396;0,010567364
712;0,045234717;0,02419984;0,036748562;0,000768509;0,010831274;0,01065583
711,5999756;0,046366308;0,025255332;0,037586406;0,00152734;0,011634656;0,011310208
711,2000122;0,047691889;0,026123147;0,039218169;0,002306366;0,011723605;0,01136962
710,7999878;0,050062466;0,028500726;0,040645916;0,003702495;0,011864471;0,011463379
710,4000244;0,051058553;0,029410927;0,042178769;0,004338419;0,013013292;0,012273258
710;0,052074734;0,030319789;0,043012902;0,004544968;0,013191934;0,01315954
709,5999756;0,054029938;0,031530853;0,044332862;0,006084231;0,013631862;0,012707643
709,2000122;0,056153029;0,033052012;0,046636615;0,007337088;0,013683924;0,013352336
708,7999878;0,057035014;0,033569414;0,046823151;0,006970508;0,014132267;0,013826284
708,4000244;0,05904517;0,035504144;0,049095146;0,008515265;0,015066894;0,014746353
708;0,060277633;0,036936365;0,050259084;0,008531131;0,01503018;0,014831924
707,5999756;0,063745514;0,038615365;0,052519485;0,009740537;0,015941286;0,015888978
707,2000122;0,065081641;0,040279746;0,054504193;0,011480548;0,015666686;0,016269483
706,7999878;0,067211241;0,042123601;0,056384139;0,011768579;0,015699159;0,016135724
706,4000244;0,070384584;0,044236433;0,05847073;0,013597405;0,016618583;0,016703205
706;0,071919568;0,046032123;0,059979443;0,014441998;0,017285895;0,017807063
705,5999756;0,075395152;0,047861714;0,06193753;0,015583875;0,017837241;0,018729694
705,2000122;0,076874986;0,049173817;0,063882865;0,016627245;0,018644081;0,019471861
704,7999878;0,079800382;0,051606648;0,066449367;0,018162584;0,018985983;0,019788379
704,4000244;0,083625697;0,054370977;0,069730125;0,019952185;0,019684058;0,020823443
704;0,086610354;0,056315117;0,071801245;0,021250512;0,020439824;0,021406658
703,5999756;0,089795977;0,059399523;0,074812524;0,023159655;0,02098351;0,022469824
703,2000122;0,094183989;0,062080048;0,077478111;0,024776647;0,021439591;0,023290405
702,7999878;0,09667632;0,064758167;0,08033333;0,026032383;0,022872405;0,023717148
702,4000244;0,100827113;0,066807255;0,083503418;0,028383927;0,023677371;0,024992822
702;0,105044931;0,070536904;0,08666186;0,029797675;0,024491858;0,026218167
701,5999756;0,10976325;0,07410337;0,090466939;0,032602664;0,02541578;0,026815698
701,2000122;0,114278913;0,076412059;0,093833379;0,033976123;0,02635812;0,028310925
700,7999878;0,118960992;0,080153346;0,096702583;0,035849772;0,027757579;0,029754622
700,4000244;0,124122612;0,083978958;0,10195715;0,038469933;0,028590625;0,03079832
700;0,12885122;0,087697744;0,106160127;0,040814824;0,029873313;0,032270703
699,5999756;0,135550842;0,092103213;0,110270418;0,04369086;0,03142938;0,033712763
699,2000122;0,141797796;0,096488498;0,115056016;0,046036039;0,032377619;0,035267342
698,7999878;0,148580149;0,100612454;0,119545251;0,049422268;0,034101743;0,036632113
698,4000244;0,154704422;0,106066763;0,125659004;0,051863439;0,036171876;0,038924772
698;0,163418651;0,111532137;0,13162069;0,055801816;0,037464824;0,040337037
697,5999756;0,169972748;0,116057776;0,136643693;0,058689151;0,03954386;0,042059802
697,2000122;0,177812755;0,121951543;0,142335191;0,062257983;0,041125264;0,044276334
696,7999878;0,186914176;0,128402665;0,149376556;0,066535108;0,043484002;0,046473235
696,4000244;0,195780665;0,134044901;0,155954465;0,070013553;0,045599166;0,049153119
696;0,205253154;0,140876383;0,163340747;0,074804284;0,047655575;0,051170137
695,5999756;0,215452194;0,147589922;0,170456827;0,079182468;0,050113041;0,053706329
695,2000122;0,226177275;0,154017016;0,178050816;0,083569527;0,052486595;0,056289036
694,7999878;0,23672089;0,162893444;0,18673794;0,089422084;0,05557131;0,059756156
694,4000244;0,249367371;0,170350671;0,195269316;0,094747193;0,057986297;0,062775619
694;0,260881901;0,17838712;0,204294965;0,100338608;0,061838754;0,065914378
693,5999756;0,274262637;0,187511593;0,213673621;0,106390178;0,064402089;0,068592921
693,2000122;0,287843794;0,196684644;0,223799944;0,112251572;0,068386763;0,073324762
692,7999878;0,301725388;0,205751658;0,234007791;0,118756816;0,070991471;0,076359808
692,4000244;0,315849364;0,215274692;0,244215176;0,12537463;0,075646743;0,081061192
692;0,330528468;0,225476623;0,254848898;0,132884771;0,0793375;0,085067518
691,5999756;0,347122312;0,236318007;0,26578784;0,140977189;0,083448581;0,089212388
691,2000122;0,363112927;0,246629164;0,278020084;0,148359999;0,087705344;0,094298474
690,7999878;0,381038338;0,25830105;0,289990962;0,157469735;0,092296861;0,099336043
690,4000244;0,39815101;0,269857854;0,30221498;0,166306436;0,097086228;0,104466803
690;0,416448712;0,282309651;0,315458477;0,175802305;0,101774;0,110066548
689,5999756;0,435194731;0,294839472;0,328486234;0,185250372;0,106500953;0,115148641
689,2000122;0,453065246;0,306018263;0,341624767;0,194535404;0,112685613;0,120843716
688,7999878;0,471666008;0,31934616;0,355126441;0,204375058;0,117175408;0,126657963
688,4000244;0,491178036;0,332089365;0,36892271;0,215195745;0,12343134;0,13328509
688;0,508974969;0,344604522;0,382174403;0,225240797;0,12928851;0,138878256
687,5999756;0,527252555;0,356976509;0,395298332;0,236434624;0,134678826;0,145649627
687,2000122;0,546904624;0,369662523;0,408630699;0,247993842;0,140969634;0,151942402
686,7999878;0,564753115;0,382036567;0,42076543;0,258637428;0,147376955;0,159004271
686,4000244;0,580585301;0,393936396;0,432890058;0,269029409;0,153259546;0,164976746
686;0,596707046;0,404598296;0,444105059;0,280044049;0,15867649;0,172354087
685,5999756;0,612234473;0,415720612;0,455932319;0,290114969;0,164542958;0,178726941
685,2000122;0,626193106;0,426309884;0,466056138;0,300161988;0,169790089;0,184625045
684,7999878;0,639015555;0,435603827;0,476052672;0,309527904;0,174954161;0,190232694
684,4000244;0,651829481;0,445538193;0,485376626;0,319511712;0,179773197;0,195733666
684;0,663090289;0,454031706;0,49281019;0,32804358;0,185437635;0,201358572
683,5999756;0,673698783;0,461620778;0,50199759;0,336190879;0,190347835;0,20619382
683,2000122;0,682010293;0,468080223;0,50731951;0,343033195;0,194495261;0,21149835
682,7999878;0,689795792;0,473701447;0,513447225;0,350312144;0,198114738;0,215386689
682,4000244;0,697448671;0,479034901;0,519018114;0,356603861;0,201292113;0,219270349
682;0,702916205;0,483965069;0,522601247;0,361459643;0,204549238;0,222646922
681,5999756;0,708508372;0,487728864;0,526483178;0,36588487;0,206782371;0,225607634
681,2000122;0,712626994;0,49133727;0,529686511;0,370514244;0,209865987;0,228659347
680,7999878;0,716503561;0,494053304;0,53297466;0,373615444;0,211186633;0,23061721
680,4000244;0,719239235;0,495436549;0,534023762;0,376701504;0,21301356;0,231925398
680;0,721062064;0,497423559;0,535756409;0,378170312;0,213923544;0,233076572
679,5999756;0,724044979;0,4988904;0,536823213;0,379970342;0,214760855;0,234441876
679,2000122;0,724758506;0,498485118;0,537089109;0,381255627;0,215188816;0,235111341
678,7999878;0,724395216;0,49833402;0,536200106;0,381516278;0,215150327;0,235534251
678,4000244;0,725428045;0,499314457;0,536981821;0,381760925;0,215625808;0,236148804
678;0,724574029;0,498095483;0,537023187;0,380814761;0,214606971;0,235065222
677,5999756;0,725952387;0,497394145;0,53609097;0,380814433;0,213857502;0,235064909
677,2000122;0,725085199;0,496198595;0,535042465;0,380692363;0,213634551;0,234295651
676,7999878;0,723251998;0,494371742;0,533898532;0,379667401;0,213187814;0,233494178
676,4000244;0,722582936;0,493685424;0,532530725;0,378140867;0,212980419;0,233318105
676;0,722427726;0,491322875;0,530953586;0,377627611;0,211731494;0,232817918
675,5999756;0,720992148;0,490346134;0,530697465;0,375944138;0,210741386;0,231838897
675,2000122;0,721019983;0,48844114;0,529508174;0,375206381;0,209854782;0,230846196
674,7999878;0,718595028;0,486750513;0,52765578;0,373572111;0,208738908;0,229801968
674,4000244;0,717188776;0,484919637;0,526518643;0,372025639;0,207668811;0,229181141
674;0,715983987;0,482757598;0,525025964;0,370348185;0,206565306;0,227136597
673,5999756;0,713966072;0,480738491;0,523632348;0,368421435;0,205513433;0,226440147
