Wavelength (nm);Abs_HP;Abs_AT
699,5999756;0,092103213;0,033712763
699,2000122;0,096488498;0,035267342
698,7999878;0,100612454;0,036632113
698,4000244;0,106066763;0,038924772
698;0,111532137;0,040337037
697,5999756;0,116057776;0,042059802
697,2000122;0,121951543;0,044276334
696,7999878;0,128402665;0,046473235
696,4000244;0,134044901;0,049153119
696;0,140876383;0,051170137
695,5999756;0,147589922;0,053706329
695,2000122;0,154017016;0,056289036
694,7999878;0,162893444;0,059756156
694,4000244;0,170350671;0,062775619
694;0,17838712;0,065914378
693,5999756;0,187511593;0,068592921
693,2000122;0,196684644;0,073324762
692,7999878;0,205751658;0,076359808
692,4000244;0,215274692;0,081061192
692;0,225476623;0,085067518
691,5999756;0,236318007;0,089212388
691,2000122;0,246629164;0,094298474
690,7999878;0,25830105;0,099336043
690,4000244;0,269857854;0,104466803
690;0,282309651;0,110066548
689,5999756;0,294839472;0,115148641
689,2000122;0,306018263;0,120843716
688,7999878;0,31934616;0,126657963
688,4000244;0,332089365;0,13328509
688;0,344604522;0,138878256
687,5999756;0,356976509;0,145649627
687,2000122;0,369662523;0,151942402
686,7999878;0,382036567;0,159004271
686,4000244;0,393936396;0,164976746
686;0,404598296;0,172354087
685,5999756;0,415720612;0,178726941
685,2000122;0,426309884;0,184625045
684,7999878;0,435603827;0,190232694
684,4000244;0,445538193;0,195733666
684;0,454031706;0,201358572
683,5999756;0,461620778;0,20619382
683,2000122;0,468080223;0,21149835
682,7999878;0,473701447;0,215386689
682,4000244;0,479034901;0,219270349
682;0,483965069;0,222646922
681,5999756;0,487728864;0,225607634
681,2000122;0,49133727;0,228659347
680,7999878;0,494053304;0,23061721
680,4000244;0,495436549;0,231925398
680;0,497423559;0,233076572
679,5999756;0,4988904;0,234441876
679,2000122;0,498485118;0,235111341
678,7999878;0,49833402;0,235534251
678,4000244;0,499314457;0,236148804
678;0,498095483;0,235065222
677,5999756;0,497394145;0,235064909
677,2000122;0,496198595;0,234295651
676,7999878;0,494371742;0,233494178
676,4000244;0,493685424;0,233318105
676;0,491322875;0,232817918
675,5999756;0,490346134;0,231838897
675,2000122;0,48844114;0,230846196
674,7999878;0,486750513;0,229801968
674,4000244;0,484919637;0,229181141
674;0,482757598;0,227136597
673,5999756;0,480738491;0,226440147
673,2000122;0,47788015;0,225219578
672,7999878;0,475539774;0,223692223
672,4000244;0,473944485;0,222875416
672;0,471885562;0,220962867
671,5999756;0,46873793;0,21951741
671,2000122;0,46663323;0,2179396
670,7999878;0,462798327;0,215587869
670,4000244;0,460134029;0,214084804
670;0,456781179;0,212075412
669,5999756;0,452753216;0,209465921
669,2000122;0,450986356;0,207904592
668,7999878;0,447439849;0,205327317
668,4000244;0,444116175;0,202905536
668;0,440879703;0,200388715
667,5999756;0,437283158;0,197567374
667,2000122;0,433388442;0,194945872
666,7999878;0,430430472;0,192233697
666,4000244;0,425210446;0,189498544
666;0,421927065;0,186696827
665,5999756;0,418407589;0,183443531
665,2000122;0,414575785;0,180960521
664,7999878;0,410426587;0,177564114
664,4000244;0,406847805;0,174830362
664;0,403660446;0,172730595
663,5999756;0,399280667;0,169572428
663,2000122;0,395784915;0,16722244
662,7999878;0,39201209;0,164175376
662,4000244;0,389083952;0,160900682
662;0,38597545;0,158276483
661,5999756;0,382342488;0,156013683
661,2000122;0,379441559;0,153519154
660,7999878;0,376452863;0,151365399
660,4000244;0,374141336;0,148770899
660;0,371155739;0,146963015
659,5999756;0,368248731;0,144933671
659,2000122;0,365448892;0,142795891
658,7999878;0,363697588;0,140835464
658,4000244;0,361731738;0,139002651
658;0,359755516;0,13732253
657,5999756;0,357457429;0,135187164
657,2000122;0,35577938;0,134159491
656,7999878;0,353554785;0,132880449
656,4000244;0,352430403;0,131794885
656;0,350837499;0,130829528
655,5999756;0,348823011;0,129476592
655,2000122;0,347636342;0,128935367
654,7999878;0,346202612;0,127979115
654,4000244;0,344086647;0,12676917
654;0,343165785;0,126079038
653,5999756;0,341719151;0,125410467
653,2000122;0,339974433;0,125106648
652,7999878;0,338791132;0,124048829
652,4000244;0,337312281;0,123231381
652;0,336187005;0,123050585
651,5999756;0,334503412;0,121918775
651,2000122;0,332988203;0,121095263
650,7999878;0,330980212;0,120839305
650,4000244;0,328825891;0,120010264
650;0,326853216;0,119066298
649,5999756;0,324557364;0,118255653
649,2000122;0,322008461;0,117179714
648,7999878;0,319091082;0,116163939
648,4000244;0,316746682;0,114950195
648;0,313407689;0,114216141
647,5999756;0,310472727;0,112666123
647,2000122;0,307336927;0,111580499
646,7999878;0,303687543;0,110325582
646,4000244;0,300870985;0,108611509
646;0,297438711;0,107535832
645,5999756;0,294244409;0,106304005
645,2000122;0,291197181;0,105622113
644,7999878;0,287571669;0,10397429
644,4000244;0,284023911;0,102190852
644;0,281279534;0,101197235
643,5999756;0,27807194;0,099615864
643,2000122;0,274986237;0,098648034
642,7999878;0,271843076;0,097657427
642,4000244;0,268721193;0,096877135
642;0,26628378;0,095042601
