Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
718,48462;1293532,875;781972,4375;616871,9375;486506,5938;0,190859112;0,269348737
719,48614;1235699,125;779289,5;549086,25;511864,4688;0,184988963;0,270960867
720,48766;1245210,25;759322,3125;587328,125;507689,4375;0,184695846;0,271060532
721,48918;1283613,375;729442,5625;523862,75;489743,4375;0,181963023;0,270602454
722,4907;1305509,25;774544,3125;580342,8125;486768,125;0,182455042;0,276297549
723,49222;1268604,375;747463,5;572642,375;511012,25;0,181403878;0,279195928
724,49374;1254167,25;865774,3125;574729,1875;501803,7813;0,184502295;0,276097073
725,49526;1320863,375;807120,6875;559137,4375;491292,8125;0,183837514;0,280212398
726,49678;1330566,5;791503,6875;590583,75;504405,7813;0,183355273;0,278919307
727,4983;1327303;746061,125;565334,5625;486371,0313;0,185101924;0,282128482
728,49982;1355756,5;808728,3125;531018,625;487808,3438;0,186646454;0,290829164
729,50134;1270037,125;846253,8125;559833;552858,5;0,187245193;0,290056271
730,50286;1344602,625;797988,125;576619;554980,875;0,187511131;0,294281386
731,50438;1374604,125;747376,0625;656895,4375;524880,4375;0,187729853;0,298456899
732,5059;1425122,625;874485,0625;545298,4375;591302,25;0,19013566;0,298025332
733,50742;1413561,125;758016,8125;662432,25;560104,375;0,187673407;0,298042094
734,50894;1435193,75;834088,5625;592196,3125;507173,0938;0,191346898;0,300141738
735,51046;1257106,5;814912,4375;588761,1875;484955,4688;0,191794452;0,297795353
736,51198;1282595,875;811686,875;651710,625;460859,9688;0,190203664;0,301917673
737,5135;1399829,875;859327,5625;609538,875;540318,5625;0,196933561;0,304059221
738,51502;1364474,5;782983,4375;588239,4375;552193,75;0,190513086;0,307027915
739,51654;1393322,375;826021,625;599450;587049,1875;0,193101034;0,305492599
740,51806;1289681,125;929416,9375;570891,375;515939,2813;0,1892958;0,303743243
741,51958;1312963,125;763541,0625;591738,4375;586002,75;0,187804898;0,301890991
742,5211;1403498,25;915102,1875;465407,6563;516177,375;0,190010068;0,299922842
743,52262;1326910,125;749217,6875;502517,2188;526781,75;0,190174386;0,293815201
744,52414;1343351,75;852170,125;611879,125;552738,625;0,188054793;0,295907524
745,52566;1333040,125;857708,3125;533036,0625;481116,8125;0,183629688;0,285908279
746,52718;1273940,75;780854,8125;592916,75;523797,125;0,181829615;0,287794038
747,5287;1262242,625;772037,8125;502857,125;530047,6875;0,174133149;0,274409583
748,53022;1162767,75;822333,75;535741,3125;541902,75;0,172907671;0,272767555
749,53174;1279352,875;798188,375;501127,4688;511877,8125;0,168171159;0,263009902
750,53326;1155810,625;715818,875;464695,6563;460357,3438;0,161508263;0,257321667
751,53478;1036870,563;769446,5625;441896,25;490674;0,156380028;0,248609987
752,5363;1095412,25;702974,5625;429623,7188;440014,9063;0,153038973;0,242722559
753,53782;1002129,125;717985,6875;459109,8125;468610,0625;0,146744056;0,233573687
754,53934;962644,0625;542088,0625;402852,0938;422826,1875;0,144177126;0,226491686
755,54086;1028683,813;577676,875;418118,1563;357746,625;0,143133401;0,21720369
756,54238;989799,8125;619736,1875;454734,1875;366161,0938;0,134839611;0,212333365
757,5439;982720,625;657100,375;351960;325812,25;0,131870597;0,197894487
758,54542;852469,25;578456,5;390072,9375;360988,9375;0,122303691;0,198033867
759,54694;770844;645794;403851,6563;266878,875;0,120028999;0,188650448
760,54846;744284,625;559337,4375;334167,4063;394798,8125;0,118352441;0,181093044
761,54998;739316,5;434463,875;332882,3125;293465,2813;0,111719394;0,172096345
762,5515;695299,125;468448,4063;343774,375;350846,875;0,10984002;0,16848456
763,55302;706946,8125;406366,875;279171,8125;327762,4688;0,101933241;0,162555775
764,55454;601163,5;438897,4688;291545,5;248313,0156;0,104341615;0,153716107
