Jasmijn,,Mads,,Eva,,Koen,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
717.2000122,-0.0009158628527,717.2000122,0.004393459763,717.2000122,0.004128257278,717.2000122,0.008586230688,
716.7999878,-0.000706836232,716.7999878,0.004476412665,716.7999878,0.004324457608,716.7999878,0.008928889409,
716.4000244,-0.0006795959198,716.4000244,0.004545595963,716.4000244,0.004346184433,716.4000244,0.008978120051,
716,-0.0007409487735,716,0.004433705006,716,0.004254629835,716,0.008819720708,
715.5999756,-0.0009363208665,715.5999756,0.004390661605,715.5999756,0.004186695442,715.5999756,0.00884883292,
715.2000122,-0.0008457506774,715.2000122,0.004374319222,715.2000122,0.004140801728,715.2000122,0.008949051611,
714.7999878,-0.0008956105448,714.7999878,0.004320065025,714.7999878,0.004183480516,714.7999878,0.008809100837,
714.4000244,-0.0008592366357,714.4000244,0.004416916054,714.4000244,0.00418421207,714.4000244,0.00888888631,
714,-0.0008128865156,714,0.004378450569,714,0.004166857805,714,0.008970191702,
713.5999756,-0.0007475125603,713.5999756,0.004461740609,713.5999756,0.00420648139,713.5999756,0.00892460905,
713.2000122,-0.000863421883,713.2000122,0.004429887049,713.2000122,0.004223444965,713.2000122,0.008925401606,
712.7999878,-0.0008660053136,712.7999878,0.004240670707,712.7999878,0.004125408828,712.7999878,0.008964853361,
712.4000244,-0.0008087524911,712.4000244,0.004448219668,712.4000244,0.004207997117,712.4000244,0.009087909944,
712,-0.0008689503884,712,0.004488600884,712,0.004035442136,712,0.008978039958,
711.5999756,-0.0007929911371,711.5999756,0.004398401827,711.5999756,0.004015951417,711.5999756,0.008871289901,
711.2000122,-0.0007745418698,711.2000122,0.004384176806,711.2000122,0.004090182949,711.2000122,0.008821807802,
710.7999878,-0.0006753055495,710.7999878,0.004469979089,710.7999878,0.004093501717,710.7999878,0.008926114999,
710.4000244,-0.0009043418686,710.4000244,0.00430605188,710.4000244,0.004020628054,710.4000244,0.008952142671,
710,-0.0008721021586,710,0.004260955844,710,0.004076830111,710,0.008964562789,
709.5999756,-0.0006119271857,709.5999756,0.004546381067,709.5999756,0.004128571134,709.5999756,0.009077627212,
709.2000122,-0.0006733929622,709.2000122,0.004527651705,709.2000122,0.004220125265,709.2000122,0.009022624232,
708.7999878,-0.000658040226,708.7999878,0.004454522394,708.7999878,0.004315385595,708.7999878,0.009147335775,
708.4000244,-0.0005898511154,708.4000244,0.004254132975,708.4000244,0.00420833705,708.4000244,0.00908140745,
708,-0.0007692188374,708,0.004249846097,708,0.004023554269,708,0.009045592509,
707.5999756,-0.0005329238484,707.5999756,0.004380150232,707.5999756,0.004130086862,707.5999756,0.009186623618,
707.2000122,-0.0005218581064,707.2000122,0.004432319198,707.2000122,0.004204547033,707.2000122,0.009321405552,
706.7999878,-0.0005303383805,706.7999878,0.004339909647,706.7999878,0.004046076443,706.7999878,0.00927057676,
706.4000244,-0.000493778789,706.4000244,0.004431273323,706.4000244,0.004283594899,706.4000244,0.009307520464,
706,-0.0006849717465,706,0.004471129738,706,0.004454234615,706,0.009426097386,
705.5999756,-0.0003782880667,705.5999756,0.004311881959,705.5999756,0.004385170527,705.5999756,0.009419219568,
705.2000122,-0.00043683892,705.2000122,0.004384281579,705.2000122,0.004246055614,705.2000122,0.009385307319,
704.7999878,-0.0005416107597,704.7999878,0.004299437627,704.7999878,0.004205618519,704.7999878,0.009448927827,
704.4000244,-0.0003589417902,704.4000244,0.0041399654,704.4000244,0.00424446119,704.4000244,0.009479353204,
704,-0.0002354984463,704,0.004285215866,704,0.004486325197,704,0.009742337279,
703.5999756,-0.0001265121828,703.5999756,0.00424033124,703.5999756,0.004471862223,703.5999756,0.00968306791,
703.2000122,-0.0001275473187,703.2000122,0.004353427328,703.2000122,0.004532700405,703.2000122,0.009738842957,
702.7999878,-0.0001716935658,702.7999878,0.004314836115,702.7999878,0.004457791336,702.7999878,0.009821446612,
702.4000244,0.0001004232836,702.4000244,0.004423427861,702.4000244,0.004531104583,702.4000244,0.01008400321,
702,0.0001293196692,702,0.004382764921,702,0.00468569668,702,0.01015021652,
701.5999756,0.0001869110274,701.5999756,0.004442230798,701.5999756,0.00481997896,701.5999756,0.01030862425,
701.2000122,0.0003034118563,701.2000122,0.004643360619,701.2000122,0.0049940506,701.2000122,0.01045046467,
700.7999878,0.0002191282256,700.7999878,0.004338732921,700.7999878,0.004774332512,700.7999878,0.01044118404,
700.4000244,0.0002468410821,700.4000244,0.004333687015,700.4000244,0.00486683473,700.4000244,0.01054566819,
700,0.0004671304487,700,0.004437654279,700,0.00489301281,700,0.01082673576,
699.5999756,0.0006507687503,699.5999756,0.004678500816,699.5999756,0.005137465429,699.5999756,0.01097676251,
699.2000122,0.0005334230955,699.2000122,0.004633052275,699.2000122,0.005077484995,699.2000122,0.01103440393,
698.7999878,0.0008190013468,698.7999878,0.004776609596,698.7999878,0.005335694179,698.7999878,0.01134193223,
698.4000244,0.0007475308375,698.4000244,0.004720473662,698.4000244,0.005269267131,698.4000244,0.01142951939,
698,0.0008369745337,698,0.00460730819,698,0.005428079981,698,0.0114204837,
697.5999756,0.001326946658,697.5999756,0.004820135888,697.5999756,0.005649020895,697.5999756,0.01180243772,
697.2000122,0.001403135131,697.2000122,0.004802101757,697.2000122,0.005641494412,697.2000122,0.01205397863,
696.7999878,0.001736272825,696.7999878,0.004917674698,696.7999878,0.005634414032,696.7999878,0.01237173844,
696.4000244,0.001740587177,696.4000244,0.004929142073,696.4000244,0.005875610746,696.4000244,0.01247485168,
696,0.002125382423,696,0.005098804832,696,0.006155823823,696,0.01291085221,
695.5999756,0.002329996554,695.5999756,0.005088275764,695.5999756,0.006124344654,695.5999756,0.01326001156,
695.2000122,0.002672258997,695.2000122,0.005147942808,695.2000122,0.006252875086,695.2000122,0.01350860577,
694.7999878,0.002924037864,694.7999878,0.005287530366,694.7999878,0.006528654136,694.7999878,0.01395532303,
694.4000244,0.003176093334,694.4000244,0.005376577377,694.4000244,0.00667996332,694.4000244,0.01426993031,
694,0.00343466131,694,0.005429102574,694,0.006921820343,694,0.01461434737,
693.5999756,0.003662995994,693.5999756,0.005289600231,693.5999756,0.007093789522,693.5999756,0.01490106154,
693.2000122,0.004173757508,693.2000122,0.005442811176,693.2000122,0.007344802376,693.2000122,0.01537037361,
692.7999878,0.004462577403,692.7999878,0.005564060528,692.7999878,0.007417761721,692.7999878,0.01599435322,
692.4000244,0.004904767498,692.4000244,0.005826337263,692.4000244,0.007788409479,692.4000244,0.01667627878,
692,0.005515215918,692,0.005820250604,692,0.008319827728,692,0.01737029664,
691.5999756,0.006003070157,691.5999756,0.006123898085,691.5999756,0.008679918014,691.5999756,0.01809529774,
691.2000122,0.006640718319,691.2000122,0.006372958422,691.2000122,0.009098086506,691.2000122,0.01890180819,
690.7999878,0.007106840611,690.7999878,0.00639652228,690.7999878,0.00939020142,690.7999878,0.01944449171,
690.4000244,0.007765429094,690.4000244,0.00649909256,690.4000244,0.009647494182,690.4000244,0.02029590495,
690,0.008403060026,690,0.006723786239,690,0.01032182574,690,0.02138958126,
689.5999756,0.009111013263,689.5999756,0.006902094465,689.5999756,0.01083711348,689.5999756,0.02222424932,
689.2000122,0.0100709945,689.2000122,0.007398487069,689.2000122,0.01142359246,689.2000122,0.02346141264,
688.7999878,0.01087153703,688.7999878,0.007498687133,688.7999878,0.01189583726,688.7999878,0.0244533252,
688.4000244,0.01195631456,688.4000244,0.007853642106,688.4000244,0.01258638222,688.4000244,0.02589756064,
688,0.0132040754,688,0.008178075776,688,0.01330821309,688,0.02737843059,
687.5999756,0.01442366652,687.5999756,0.008624674752,687.5999756,0.01424684469,687.5999756,0.02907616459,
687.2000122,0.01570753381,687.2000122,0.009045883082,687.2000122,0.01520839334,687.2000122,0.03084664606,
686.7999878,0.01693655364,686.7999878,0.009384196252,686.7999878,0.01612274908,686.7999878,0.03252958879,
686.4000244,0.01834573224,686.4000244,0.009594615549,686.4000244,0.01705120131,686.4000244,0.03447453305,
686,0.01998874918,686,0.01018829644,686,0.01799316332,686,0.03651110828,
685.5999756,0.02186114341,685.5999756,0.01096986048,685.5999756,0.01938794367,685.5999756,0.0390441604,
685.2000122,0.02363609523,685.2000122,0.01142393798,685.2000122,0.02064204216,685.2000122,0.04124835879,
684.7999878,0.02580577135,684.7999878,0.01211775187,684.7999878,0.02206884511,684.7999878,0.04415871203,
684.4000244,0.02809861489,684.4000244,0.0129648298,684.4000244,0.02364503406,684.4000244,0.04724780843,
684,0.0304718744,684,0.01372194104,684,0.02538163774,684,0.05045165867,
683.5999756,0.03327989206,683.5999756,0.01442527212,683.5999756,0.0272939913,683.5999756,0.05379574001,
683.2000122,0.0359332785,683.2000122,0.01519823261,683.2000122,0.02885462902,683.2000122,0.05742082,
682.7999878,0.0390734449,682.7999878,0.0161244683,682.7999878,0.03115716018,682.7999878,0.06148204952,
682.4000244,0.04249575362,682.4000244,0.01723328978,682.4000244,0.03323797509,682.4000244,0.06587877125,
682,0.04605036974,682,0.01832899079,682,0.03567252308,682,0.07048112154,
681.5999756,0.04983158782,681.5999756,0.01960567571,681.5999756,0.03847519308,681.5999756,0.07557483763,
681.2000122,0.05379017442,681.2000122,0.02075465769,681.2000122,0.04109222814,681.2000122,0.08090198785,
680.7999878,0.0583929345,680.7999878,0.02223310433,680.7999878,0.0441682823,680.7999878,0.08663411438,
