,PSILTAF,PSILTCE,PSILTHA,PSILTHP,PSILTAT,PSILTFA,Pigments in acetone
779.57734,2604312,74795.49219,966932.875,883746.625,0.11023096,0.286481787,1426919.25
780.57886,2397701.5,50972.98438,1018746.688,957987.375,0.111739123,0.275919031,1332531
781.58038,2527963.75,51006.35938,999347.375,862922.5625,0.114753135,0.258795906,1535037.75
782.5819,2341286,42901.92578,904993.625,825043.375,0.104978781,0.242993189,1453975.25
783.58342,2334890.25,46357.74609,941073.125,889924.125,0.102522935,0.233456418,1393241.5
784.58494,2079968.75,52782.33984,943074.4375,754829.5625,0.098986348,0.222685916,1594569
785.58646,2264987.25,44285.64453,930922.4375,769360.125,0.10014151,0.213642013,1455768.5
786.58798,2211268.5,52857.47266,813346.9375,740739.75,0.103005577,0.202874394,1359091
787.5895,2130446.75,50652.84766,822814.5625,744873.875,0.099290123,0.189131453,1418677
788.59102,2121255.5,52842.42188,961535.1875,736608,0.100105476,0.181903118,1415002.5
789.59254,2144581,47081.03516,862499.5,715822.875,0.098933148,0.176987698,1416533.25
790.59406,2078710.75,32286.70898,762708.0625,686083.625,0.099586295,0.165564755,1291449.25
791.59558,2046455,40895.16406,751259.5625,705832.625,0.099422787,0.161605145,1209448
792.5971,1832118.75,24237.85938,713231.125,690266.5,0.097786423,0.152491082,1310753.5
793.59862,1823040.625,45861.42578,786373.3125,699718.875,0.095047517,0.147213474,1294181.25
794.60014,1834292.75,50638.55469,789404.5625,679343.25,0.09412609,0.146179239,1292949
795.60166,1798551.875,44135.28516,806988,623306.25,0.093202751,0.139953304,1036226.188
796.60318,1552604.875,44661.99609,728301.875,606744.5,0.095140854,0.133210089,1219087.375
797.6047,1606856.75,29964.84961,755757.0625,565681.375,0.092368227,0.129567421,1210034
798.60622,1564815.75,47112.05859,697906,541259.125,0.088347781,0.125864277,1242178.75
799.60774,1660890.625,45711.82813,710858.4375,577160.5,0.092379557,0.122941534,
800.60926,1763098.25,27480.56836,650217.4375,592676,0.087356421,0.118556466,
801.61078,1452326.75,36400.24609,704364.25,568140.875,0.085822059,0.116274372,
802.6123,1732172.25,40485.43359,751075.5625,562968.375,0.085490369,0.111536202,
803.61382,,,,,0.084062725,0.111455565,
804.61534,,,,,0.080253027,0.110060724,
805.61686,,,,,0.082669561,0.105776461,
806.61838,,,,,0.081174461,0.105388582,
807.6199,,,,,0.08159465,0.102810661,
808.62142,,,,,0.079303177,0.101360039,
809.62294,,,,,0.074197731,0.099127279,
810.62446,,,,,0.073869425,0.099605745,
811.62598,,,,,0.074708812,0.100138292,
812.6275,,,,,0.07619555,0.097653354,
813.62902,,,,,0.070722814,0.097079568,
814.63054,,,,,0.070529951,0.09364676,
815.63206,,,,,0.067565444,0.093498691,
816.63358,,,,,0.066882583,0.092622387,
817.6351,,,,,0.063810519,0.090566249,
