Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
618.7999878,0.3389722705,618.7999878,0.1298838109,618.7999878,0.2004228532,618.7999878,0.08309001476,618.7999878,0.364237994,
618.4000244,0.3389581144,618.4000244,0.1290263981,618.4000244,0.199384734,618.4000244,0.08250358701,618.4000244,0.361908108,
618,0.3390245438,618,0.1279611439,618,0.1982097179,618,0.0821731016,618,0.3595973253,
617.5999756,0.3392793238,617.5999756,0.1269025952,617.5999756,0.196720317,617.5999756,0.08151373267,617.5999756,0.3570234478,
617.2000122,0.3393282294,617.2000122,0.1259673536,617.2000122,0.19530195,617.2000122,0.08113254607,617.2000122,0.3547246754,
616.7999878,0.3392729759,616.7999878,0.1249893382,616.7999878,0.1939869523,616.7999878,0.08070980012,616.7999878,0.3521616161,
616.4000244,0.3395048082,616.4000244,0.1238269582,616.4000244,0.1924571395,616.4000244,0.08003178984,616.4000244,0.3493025303,
616,0.339569211,616,0.1228041202,616,0.1909903884,616,0.07945457101,616,0.3465829194,
615.5999756,0.3396451473,615.5999756,0.1215876937,615.5999756,0.1896523982,615.5999756,0.0788230896,615.5999756,0.3437979519,
615.2000122,0.3397535682,615.2000122,0.1204076633,615.2000122,0.1881319582,615.2000122,0.0783456862,615.2000122,0.3409745097,
614.7999878,0.3398593068,614.7999878,0.1193097979,614.7999878,0.1866226345,614.7999878,0.07792256773,614.7999878,0.3379322588,
614.4000244,0.3398745954,614.4000244,0.1180784106,614.4000244,0.1850375533,614.4000244,0.07729287446,614.4000244,0.3350661099,
614,0.3399816155,614,0.1168107316,614,0.1834051609,614,0.07666412741,614,0.3321169317,
613.5999756,0.3400024772,613.5999756,0.1156865358,613.5999756,0.1819195449,613.5999756,0.07631540298,613.5999756,0.3291171193,
613.2000122,0.3400319219,613.2000122,0.1144758761,613.2000122,0.1803420782,613.2000122,0.07574516535,613.2000122,0.3262212873,
612.7999878,0.3400602639,612.7999878,0.1132856458,612.7999878,0.1789415032,612.7999878,0.0751349628,612.7999878,0.323302865,
612.4000244,0.3401859999,612.4000244,0.1119936034,612.4000244,0.1773834527,612.4000244,0.07460911572,612.4000244,0.3202607632,
612,0.3400249481,612,0.1109933108,612,0.175998345,612,0.07422899455,612,0.317325294,
611.5999756,0.340174675,611.5999756,0.1096394807,611.5999756,0.1743718982,611.5999756,0.0734853819,611.5999756,0.3142590821,
611.2000122,0.3400087655,611.2000122,0.1086710542,611.2000122,0.1731361896,611.2000122,0.07327290624,611.2000122,0.3115103245,
610.7999878,0.3401190639,610.7999878,0.1074358001,610.7999878,0.1715818048,610.7999878,0.07272424549,610.7999878,0.3086410761,
610.4000244,0.3400495946,610.4000244,0.1063655764,610.4000244,0.1700448841,610.4000244,0.07226438075,610.4000244,0.305657655,
610,0.3400326073,610,0.105328165,610,0.1687535942,610,0.07171399891,610,0.3029328585,
609.5999756,0.3400496244,609.5999756,0.1043024361,609.5999756,0.1674663723,609.5999756,0.07120856643,609.5999756,0.3001903892,
609.2000122,0.3398620784,609.2000122,0.1033683866,609.2000122,0.1661997736,609.2000122,0.070803985,609.2000122,0.2977384031,
608.7999878,0.3397990763,608.7999878,0.102202937,608.7999878,0.1648917049,608.7999878,0.07025495917,608.7999878,0.295232147,
608.4000244,0.3396350443,608.4000244,0.1012823731,608.4000244,0.1638159454,608.4000244,0.06985032558,608.4000244,0.2927402258,
608,0.3396842182,608,0.1002802327,608,0.1622238755,608,0.0693211183,608,0.2902235091,
607.5999756,0.3394596577,607.5999756,0.09943041205,607.5999756,0.1611858755,607.5999756,0.0688695088,607.5999756,0.2880224288,
