Baseline 100%T,,Koen,,Mads,,Eva,,Jasmijn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
615.5999756,0.3507449329,615.5999756,0.2787920535,615.5999756,0.63489604,615.5999756,0.2539601326,615.5999756,0.1063937172,
615.2000122,0.350793004,615.2000122,0.2780647874,615.2000122,0.6335991621,615.2000122,0.2533276081,615.2000122,0.1063535735,
614.7999878,0.3509767354,614.7999878,0.2770929039,614.7999878,0.6318689585,614.7999878,0.2526087463,614.7999878,0.106225118,
614.4000244,0.3509905636,614.4000244,0.2762453258,614.4000244,0.6302280426,614.4000244,0.2520256639,614.4000244,0.1061438993,
614,0.3509427309,614,0.2752342224,614,0.6282297373,614,0.251267314,614,0.1061370224,
613.5999756,0.3509560525,613.5999756,0.274074316,613.5999756,0.6260942221,613.5999756,0.2503898442,613.5999756,0.106005162,
613.2000122,0.351120919,613.2000122,0.2726348937,613.2000122,0.6234859824,613.2000122,0.2493114769,613.2000122,0.105685927,
612.7999878,0.3512297273,612.7999878,0.2709954083,612.7999878,0.6206200719,612.7999878,0.2480021864,612.7999878,0.1054726839,
612.4000244,0.3511444628,612.4000244,0.2694387436,612.4000244,0.6176338792,612.4000244,0.2468603551,612.4000244,0.1053368375,
612,0.3512714207,612,0.2676826417,612,0.6141854525,612,0.2456274927,612,0.1049840078,
611.5999756,0.3512122929,611.5999756,0.2659762502,611.5999756,0.610686779,611.5999756,0.244343698,611.5999756,0.1048475876,
611.2000122,0.3511055708,611.2000122,0.2639044225,611.2000122,0.6068283916,611.2000122,0.2429221272,611.2000122,0.1046857759,
610.7999878,0.3510961831,610.7999878,0.261798352,610.7999878,0.6029358506,610.7999878,0.2412252724,610.7999878,0.104405202,
610.4000244,0.3511811197,610.4000244,0.2595309317,610.4000244,0.5984749198,610.4000244,0.2394841611,610.4000244,0.1040766165,
610,0.3512041867,610,0.2570611238,610,0.5940049887,610,0.2376737446,610,0.1035568789,
609.5999756,0.3511374593,609.5999756,0.2547038496,609.5999756,0.5892051458,609.5999756,0.235841006,609.5999756,0.1032930836,
609.2000122,0.3511301875,609.2000122,0.2522150874,609.2000122,0.5842813849,609.2000122,0.2338634878,609.2000122,0.1030499637,
608.7999878,0.3509555459,608.7999878,0.2494013011,608.7999878,0.5792704821,608.7999878,0.2319823205,608.7999878,0.1029230133,
608.4000244,0.3507808149,608.4000244,0.2465922236,608.4000244,0.5737736225,608.4000244,0.2297399342,608.4000244,0.1024280488,
608,0.3507492542,608,0.243770659,608,0.5684617162,608,0.2274832726,608,0.1020452157,
607.5999756,0.3505619168,607.5999756,0.2410105467,607.5999756,0.5627540946,607.5999756,0.2255479246,607.5999756,0.1016270742,
607.2000122,0.3505296111,607.2000122,0.2379731834,607.2000122,0.5568115711,607.2000122,0.2231023461,607.2000122,0.1012937129,
606.7999878,0.3504055142,606.7999878,0.2349596024,606.7999878,0.5509773493,606.7999878,0.2208040655,606.7999878,0.1008725986,
606.4000244,0.3502052128,606.4000244,0.2319899499,606.4000244,0.544829607,606.4000244,0.2185355276,606.4000244,0.1004752815,
606,0.3500406444,606,0.2288039029,606,0.5387636423,606,0.2160651386,606,0.1000551879,
605.5999756,0.3498573601,605.5999756,0.2256711274,605.5999756,0.5324454308,605.5999756,0.2136089355,605.5999756,0.09976061434,
605.2000122,0.3498015106,605.2000122,0.2223043889,605.2000122,0.5260350108,605.2000122,0.2111151516,605.2000122,0.0991955623,
604.7999878,0.3496482074,604.7999878,0.219034493,604.7999878,0.5198469758,604.7999878,0.2086990923,604.7999878,0.09874524921,
604.4000244,0.3494574726,604.4000244,0.2159250975,604.4000244,0.5135548115,604.4000244,0.2061712593,604.4000244,0.09847120941,
604,0.3492828608,604,0.2127783746,604,0.5071209669,604,0.2036421597,604,0.09801531583,
603.5999756,0.3490684628,603.5999756,0.2094085217,603.5999756,0.5006520152,603.5999756,0.201202333,603.5999756,0.09764151275,
603.2000122,0.3488729894,603.2000122,0.206159696,603.2000122,0.4940724969,603.2000122,0.198688224,603.2000122,0.09737743437,
602.7999878,0.3486095369,602.7999878,0.2029618025,602.7999878,0.4878956378,602.7999878,0.1962684095,602.7999878,0.09699583054,
602.4000244,0.3486447632,602.4000244,0.1996113509,602.4000244,0.4814429879,602.4000244,0.1935943663,602.4000244,0.09626870602,
602,0.3485259712,602,0.1964169443,602,0.4750892222,602,0.1912132651,602,0.09581676126,
601.5999756,0.3480660021,601.5999756,0.1936336905,601.5999756,0.4692754745,601.5999756,0.1890285462,601.5999756,0.09571629763,
601.2000122,0.3480150104,601.2000122,0.1904681176,601.2000122,0.4629410505,601.2000122,0.1865215153,601.2000122,0.09521442652,
600.7999878,0.3479831219,600.7999878,0.1872270256,600.7999878,0.4567338824,600.7999878,0.1839970946,600.7999878,0.09456731379,
600.4000244,0.3476725817,600.4000244,0.1844402254,600.4000244,0.4511272907,600.4000244,0.1819645166,600.4000244,0.0943993479,
600,0.3474615812,600,0.1817565262,600,0.4456608295,600,0.1797785163,600,0.09406898171,
599.5999756,0.3473423421,599.5999756,0.1790622473,599.5999756,0.4401615262,599.5999756,0.1776434034,599.5999756,0.09366916865,
599.2000122,0.3472336531,599.2000122,0.1763053685,599.2000122,0.4348809421,599.2000122,0.1755277812,599.2000122,0.09327831864,
598.7999878,0.3471007645,598.7999878,0.1738874018,598.7999878,0.4298878014,598.7999878,0.1734905988,598.7999878,0.09308179468,
