Baseline 100%T;;Eva;;Koen;;Jasmijn;;Mads;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
709,5999756;0,349307716;709,5999756;0,035307463;709,5999756;0,082737163;709,5999756;0,002845003;709,5999756;0,090823896
709,2000122;0,349162132;709,2000122;0,0366362;709,2000122;0,084599435;709,2000122;0,003276211;709,2000122;0,093525402
708,7999878;0,34908253;708,7999878;0,037668016;708,7999878;0,086387508;708,7999878;0,003779833;708,7999878;0,096654102
708,4000244;0,34904471;708,4000244;0,038840041;708,4000244;0,088218465;708,4000244;0,004229117;708,4000244;0,09939383
708;0,348999381;708;0,040111642;708;0,090050392;708;0,004631875;708;0,102553941
707,5999756;0,348930568;707,5999756;0,041180361;707,5999756;0,091983385;707,5999756;0,004957707;707,5999756;0,105999678
707,2000122;0,348852187;707,2000122;0,042664871;707,2000122;0,093882896;707,2000122;0,005735571;707,2000122;0,109417394
706,7999878;0,348756671;706,7999878;0,044251569;706,7999878;0,096093036;706,7999878;0,006249566;706,7999878;0,112954736
706,4000244;0,348615587;706,4000244;0,045593616;706,4000244;0,098306634;706,4000244;0,006740165;706,4000244;0,116628386
706;0,348548561;706;0,047143921;706;0,100576103;706;0,007278883;706;0,120528594
705,5999756;0,348496825;705,5999756;0,048758425;705,5999756;0,103050657;705,5999756;0,007907943;705,5999756;0,124491625
705,2000122;0,348331302;705,2000122;0,05045823;705,2000122;0,105514042;705,2000122;0,008549374;705,2000122;0,128879696
704,7999878;0,348359734;704,7999878;0,052167051;704,7999878;0,108159997;704,7999878;0,009095761;704,7999878;0,133332133
704,4000244;0,348347455;704,4000244;0,05405641;704,4000244;0,110757433;704,4000244;0,009817184;704,4000244;0,13775444
704;0,348089933;704;0,056168705;704;0,113877393;704;0,010866016;704;0,142867103
703,5999756;0,348084003;703,5999756;0,058134772;703,5999756;0,116844811;703,5999756;0,011518957;703,5999756;0,14784959
703,2000122;0,347911;703,2000122;0,060384143;703,2000122;0,120262966;703,2000122;0,012495099;703,2000122;0,153332532
702,7999878;0,347964138;702,7999878;0,062511943;702,7999878;0,123580501;702,7999878;0,013284779;702,7999878;0,159026638
702,4000244;0,347854108;702,4000244;0,065041557;702,4000244;0,127109215;702,4000244;0,014155292;702,4000244;0,164858863
702;0,34778738;702;0,067693189;702;0,13093926;702;0,015046339;702;0,17129612
701,5999756;0,347767413;701,5999756;0,07043016;701,5999756;0,134957776;701,5999756;0,01615547;701,5999756;0,177877277
701,2000122;0,347702056;701,2000122;0,07340347;701,2000122;0,139233559;701,2000122;0,017221896;701,2000122;0,184883818
700,7999878;0,347603619;700,7999878;0,076572903;700,7999878;0,143903643;700,7999878;0,018430611;700,7999878;0,19241339
700,4000244;0,347591996;700,4000244;0,07982216;700,4000244;0,148629203;700,4000244;0,019640747;700,4000244;0,200368851
700;0,347499758;700;0,08322525;700;0,153566718;700;0,020969057;700;0,208583221
699,5999756;0,347376257;699,5999756;0,087112278;699,5999756;0,158883259;699,5999756;0,022405086;699,5999756;0,21754168
699,2000122;0,347366363;699,2000122;0,091097072;699,2000122;0,164609999;699,2000122;0,023808332;699,2000122;0,226804689
698,7999878;0,347325563;698,7999878;0,095216423;698,7999878;0,170417965;698,7999878;0,0255742;698,7999878;0,23667638
698,4000244;0,347335041;698,4000244;0,099664576;698,4000244;0,176626876;698,4000244;0,027055508;698,4000244;0,24690418
698;0,347271711;698;0,104316786;698;0,183239013;698;0,02877311;698;0,258024395
697,5999756;0,34715879;697,5999756;0,109288529;697,5999756;0,19032301;697,5999756;0,030773949;697,5999756;0,26960668
697,2000122;0,347235024;697,2000122;0,114549093;697,2000122;0,19735083;697,2000122;0,032705139;697,2000122;0,281480938
696,7999878;0,347239882;696,7999878;0,119977132;696,7999878;0,205031335;696,7999878;0,034751225;696,7999878;0,294134736
696,4000244;0,347051591;696,4000244;0,126137525;696,4000244;0,213395596;696,4000244;0,037382942;696,4000244;0,30797416
696;0,347051978;696;0,132154197;696;0,221831948;696;0,039756108;696;0,32211712
695,5999756;0,346919;695,5999756;0,138548851;695,5999756;0,230777398;695,5999756;0,04233218;695,5999756;0,337034583
695,2000122;0,346935093;695,2000122;0,145514444;695,2000122;0,240240604;695,2000122;0,045042288;695,2000122;0,353045046
694,7999878;0,346760333;694,7999878;0,152749494;694,7999878;0,250105381;694,7999878;0,048237715;694,7999878;0,369721204
694,4000244;0,346742302;694,4000244;0,160164312;694,4000244;0,26014936;694,4000244;0,051282946;694,4000244;0,386941403
694;0,346684933;694;0,168071196;694;0,271162629;694;0,054609418;694;0,405440807
693,5999756;0,346611589;693,5999756;0,176263064;693,5999756;0,282302171;693,5999756;0,058373511;693,5999756;0,424779415
693,2000122;0,346698314;693,2000122;0,18469736;693,2000122;0,293985724;693,2000122;0,062085722;693,2000122;0,445004284
692,7999878;0,346566737;692,7999878;0,193897501;692,7999878;0,306237251;692,7999878;0,066331558;692,7999878;0,466659993
692,4000244;0,346495718;692,4000244;0,203508228;692,4000244;0,319408387;692,4000244;0,070619255;692,4000244;0,489613503
692;0,346525669;692;0,213396221;692;0,332416356;692;0,075186878;692;0,513052523
691,5999756;0,346369445;691,5999756;0,223677889;691,5999756;0,346402258;691,5999756;0,080392979;691,5999756;0,537843823
691,2000122;0,346385717;691,2000122;0,234338984;691,2000122;0,360945404;691,2000122;0,085638501;691,2000122;0,564140797
690,7999878;0,346499294;690,7999878;0,245399386;690,7999878;0,375620574;690,7999878;0,091224708;690,7999878;0,591436923
690,4000244;0,346414417;690,4000244;0,257101595;690,4000244;0,391330391;690,4000244;0,097405747;690,4000244;0,620208383
690;0,346268237;690;0,269336015;690;0,407418519;690;0,104050398;690;0,650631011
689,5999756;0,346211672;689,5999756;0,282149553;689,5999756;0,424284369;689,5999756;0,110966809;689,5999756;0,68230021
689,2000122;0,34631598;689,2000122;0,29483372;689,2000122;0,440965742;689,2000122;0,118140996;689,2000122;0,714630961
688,7999878;0,346338481;688,7999878;0,308003664;688,7999878;0,458425373;688,7999878;0,125956416;688,7999878;0,748536289
688,4000244;0,346213967;688,4000244;0,322007477;688,4000244;0,476526558;688,4000244;0,134339437;688,4000244;0,784305871
688;0,346290499;688;0,336037278;688;0,494579703;688;0,142934158;688;0,820451021
687,5999756;0,346230418;687,5999756;0,350874484;687,5999756;0,513355374;687,5999756;0,152168527;687,5999756;0,858481646
687,2000122;0,34612453;687,2000122;0,365826458;687,2000122;0,532691181;687,2000122;0,162041247;687,2000122;0,897720993
686,7999878;0,346029341;686,7999878;0,380837917;686,7999878;0,551737905;686,7999878;0,172282338;686,7999878;0,93733865
686,4000244;0,346060127;686,4000244;0,395816863;686,4000244;0,570513904;686,4000244;0,182740599;686,4000244;0,976910353
686;0,346216083;686;0,410847694;686;0,589191854;686;0,193303272;686;1,017027378
685,5999756;0,345987797;685,5999756;0,426342487;685,5999756;0,608405054;685,5999756;0,204635143;685,5999756;1,058457375
685,2000122;0,345972776;685,2000122;0,441362768;685,2000122;0,626580656;685,2000122;0,216163278;685,2000122;1,098805308
684,7999878;0,345879108;684,7999878;0,456261307;684,7999878;0,644776523;684,7999878;0,227884725;684,7999878;1,139226675
684,4000244;0,345851988;684,4000244;0,470941305;684,4000244;0,662140489;684,4000244;0,239614844;684,4000244;1,179415345
684;0,345639974;684;0,48490563;684;0,678697825;684;0,251293719;684;1,217292786
