Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
731,2000122;0,359917194;731,2000122;0,000301909;731,2000122;0,067200847;731,2000122;0,035534285;731,2000122;0,05494225;;368,7999878;0,787156463;;0,787550682
730,7999878;0,359928727;730,7999878;0,000264791;730,7999878;0,067287698;730,7999878;0,035601489;730,7999878;0,055016462;;369,1999817;0,794300973;;0,794695193
730,4000244;0,359818041;730,4000244;0,000289968;730,4000244;0,067367077;730,4000244;0,035530772;730,4000244;0,054916397;;369,6000061;0,801915288;;0,802309508
730;0,359909356;730;0,000171295;730;0,067459039;730;0,035533387;730;0,055069733;;370;0,809100032;;0,809494252
729,5999756;0,359863162;729,5999756;0,000254352;729,5999756;0,067415811;729,5999756;0,035557885;729,5999756;0,05500935;;370,3999939;0,816820145;;0,817214364
729,2000122;0,359780073;729,2000122;0,000309007;729,2000122;0,067454934;729,2000122;0,035578225;729,2000122;0,05492286;;370,7999878;0,824353397;;0,824747617
728,7999878;0,359611154;728,7999878;0,000348876;728,7999878;0,067765743;728,7999878;0,035728086;728,7999878;0,055195082;;371,1999817;0,831451416;;0,831845636
728,4000244;0,35951674;728,4000244;0,000533734;728,4000244;0,067734219;728,4000244;0,035833355;728,4000244;0,055002857;;371,6000061;0,838842571;;0,83923679
728;0,35933274;728;0,000521423;728;0,067823477;728;0,035675701;728;0,055057831;;372;0,84565419;;0,846048409
727,5999756;0,359317839;727,5999756;0,000367555;727,5999756;0,06777373;727,5999756;0,035626609;727,5999756;0,054871898;;372,3999939;0,85237217;;0,852766389
727,2000122;0,359227985;727,2000122;0,0005257;727,2000122;0,067896351;727,2000122;0,03575962;727,2000122;0,055110641;;372,7999878;0,858952165;;0,859346384
726,7999878;0,359033376;726,7999878;0,000568465;726,7999878;0,068096854;726,7999878;0,03566061;726,7999878;0,055321258;;373,1999817;0,865535557;;0,865929777
726,4000244;0,358812451;726,4000244;0,000556542;726,4000244;0,068328045;726,4000244;0,035754535;726,4000244;0,055321552;;373,6000061;0,871482253;;0,871876473
726;0,35881412;726;0,00058985;726;0,068287574;726;0,035747141;726;0,055305351;;374;0,877460897;;0,877855117
725,5999756;0,358522654;725,5999756;0,000779089;725,5999756;0,068517864;725,5999756;0,035959542;725,5999756;0,055531126;;374,3999939;0,88312006;;0,88351428
725,2000122;0,358469665;725,2000122;0,000794338;725,2000122;0,06858816;725,2000122;0,035587695;725,2000122;0,055287682;;374,7999878;0,888409913;;0,888804132
724,7999878;0,358472854;724,7999878;0,00054703;724,7999878;0,06834586;724,7999878;0,035640996;724,7999878;0,055160485;;375,1999817;0,893370569;;0,893764788
724,4000244;0,358193249;724,4000244;0,000790266;724,4000244;0,068593465;724,4000244;0,035766032;724,4000244;0,055360865;;375,6000061;0,897524357;;0,897918576
724;0,358063281;724;0,001099188;724;0,068733752;724;0,035738036;724;0,055427652;;376;0,902041197;;0,902435416
723,5999756;0,358088821;723,5999756;0,000732828;723,5999756;0,06867329;723,5999756;0,035580922;723,5999756;0,055295415;;376,3999939;0,906153202;;0,906547422
723,2000122;0,357912779;723,2000122;0,000993759;723,2000122;0,068875454;723,2000122;0,035732582;723,2000122;0,055435326;;376,7999878;0,909472048;;0,909866268
722,7999878;0,3578794;722,7999878;0,000975702;722,7999878;0,06889578;722,7999878;0,03567455;722,7999878;0,055375099;;377,1999817;0,913051188;;0,913445408
722,4000244;0,357767254;722,4000244;0,000892429;722,4000244;0,069023818;722,4000244;0,035679746;722,4000244;0,055308059;;377,6000061;0,915663421;;0,916057641
722;0,35762915;722;0,000946619;722;0,06919378;722;0,035793211;722;0,055473089;;378;0,918642461;;0,919036681
721,5999756;0,357495725;721,5999756;0,000931988;721,5999756;0,069415048;721,5999756;0,035894334;721,5999756;0,055475708;;378,3999939;0,921215236;;0,921609456
721,2000122;0,35742113;721,2000122;0,000949629;721,2000122;0,069393121;721,2000122;0,035789136;721,2000122;0,05550883;;378,7999878;0,923715651;;0,924109871
720,7999878;0,357193589;720,7999878;0,001163111;720,7999878;0,069647491;720,7999878;0,036020145;720,7999878;0,055563957;;379,1999817;0,925665319;;0,926059539
720,4000244;0,357148469;720,4000244;0,001186576;720,4000244;0,06961932;720,4000244;0,03591188;720,4000244;0,055548102;;379,6000061;0,927363277;;0,927757496
720;0,356992036;720;0,001171703;720;0,06962996;720;0,035899956;720;0,055572283;;380;0,929257393;;0,929651613
719,5999756;0,357004374;719,5999756;0,001043188;719,5999756;0,069708057;719,5999756;0,035802573;719,5999756;0,055504974;;380,3999939;0,930978358;;0,931372577
719,2000122;0,356825948;719,2000122;0,001274111;719,2000122;0,070052579;719,2000122;0,036009878;719,2000122;0,055677265;;380,7999878;0,932040453;;0,932434673
718,7999878;0,356633127;718,7999878;0,001371661;718,7999878;0,070345536;718,7999878;0,036063824;718,7999878;0,055784833;;381,1999817;0,933477581;;0,9338718
718,4000244;0,356671631;718,4000244;0,001431079;718,4000244;0,070347391;718,4000244;0,035961904;718,4000244;0,05567494;;381,6000061;0,934913993;;0,935308213
718;0,356611311;718;0,001489701;718;0,070545338;718;0,036090828;718;0,055680383;;382;0,936482251;;0,93687647
717,5999756;0,356553495;717,5999756;0,001585923;717,5999756;0,070672251;717,5999756;0,036193762;717,5999756;0,055854183;;382,3999939;0,93741858;;0,9378128
717,2000122;0,35637638;717,2000122;0,001559111;717,2000122;0,070903204;717,2000122;0,036234505;717,2000122;0,055854212;;382,7999878;0,938750804;;0,939145023
716,7999878;0,356209964;716,7999878;0,001683205;716,7999878;0,070960961;716,7999878;0,036175027;716,7999878;0,055694215;;383,1999817;0,939841986;;0,940236205
716,4000244;0,356132388;716,4000244;0,001869438;716,4000244;0,071289055;716,4000244;0,036406692;716,4000244;0,055875763;;383,6000061;0,940809906;;0,941204125
716;0,356001377;716;0,002001162;716;0,071476907;716;0,036498833;716;0,05596577;;384;0,941496313;;0,941890532
715,5999756;0,355888754;715,5999756;0,002073282;715,5999756;0,07175269;715,5999756;0,036507618;715,5999756;0,055942629;;384,3999939;0,942402124;;0,942796344
715,2000122;0,355964929;715,2000122;0,002096223;715,2000122;0,071764931;715,2000122;0,036434926;715,2000122;0,055790514;;384,7999878;0,943235993;;0,943630213
714,7999878;0,355837286;714,7999878;0,002321643;714,7999878;0,072100237;714,7999878;0,036661323;714,7999878;0,055882327;;385,1999817;0,944220662;;0,944614882
714,4000244;0,355747789;714,4000244;0,00228089;714,4000244;0,072314337;714,4000244;0,036499117;714,4000244;0,056001816;;385,6000061;0,945120275;;0,945514495
714;0,355671197;714;0,002396939;714;0,072533898;714;0,036580548;714;0,056060921;;386;0,945869684;;0,946263904
713,5999756;0,355517209;713,5999756;0,002641552;713,5999756;0,072741754;713,5999756;0,03673346;713,5999756;0,056196455;;386,3999939;0,946514249;;0,946908468
713,2000122;0,355498761;713,2000122;0,002608582;713,2000122;0,072779588;713,2000122;0,036870901;713,2000122;0,05605739;;386,7999878;0,947189868;;0,947584087
712,7999878;0,355426729;712,7999878;0,002658351;712,7999878;0,073023759;712,7999878;0,036813248;712,7999878;0,056123074;;387,1999817;0,948016048;;0,948410267
712,4000244;0,355432421;712,4000244;0,002743448;712,4000244;0,073411286;712,4000244;0,036911394;712,4000244;0,056139361;;387,6000061;0,948821187;;0,949215407
712;0,355324596;712;0,003063225;712;0,073629037;712;0,037023209;712;0,056129582;;388;0,94970572;;0,95009994
711,5999756;0,355246931;711,5999756;0,003285678;711,5999756;0,073763542;711,5999756;0,036985692;711,5999756;0,056232166;;388,3999939;0,950442672;;0,950836891
711,2000122;0,355175763;711,2000122;0,003241523;711,2000122;0,074107364;711,2000122;0,037226811;711,2000122;0,056317296;;388,7999878;0,951597393;;0,951991612
710,7999878;0,355127454;710,7999878;0,003411232;710,7999878;0,074584156;710,7999878;0,037368979;710,7999878;0,056435548;;389,1999817;0,952743352;;0,953137571
710,4000244;0,355143338;710,4000244;0,003564825;710,4000244;0,074803792;710,4000244;0,037395753;710,4000244;0,056376595;;389,6000061;0,953648329;;0,954042548
710;0,35501793;710;0,003711476;710;0,075141452;710;0,037444536;710;0,056344852;;390;0,955365837;;0,955760056
709,5999756;0,355013281;709,5999756;0,003822633;709,5999756;0,07546404;709,5999756;0,037505094;709,5999756;0,056313582;;390,3999939;0,956517756;;0,956911976
709,2000122;0,354970992;709,2000122;0,004044509;709,2000122;0,075695954;709,2000122;0,037688877;709,2000122;0,056463581;;390,7999878;0,958439529;;0,958833749
708,7999878;0,35488984;708,7999878;0,004088746;708,7999878;0,076072641;708,7999878;0,037772004;708,7999878;0,056470979;;391,1999817;0,96059233;;0,960986549
708,4000244;0,354842991;708,4000244;0,004254865;708,4000244;0,0764938;708,4000244;0,03788935;708,4000244;0,0565635;;391,6000061;0,962888122;;0,963282341
708;0,354912967;708;0,004388047;708;0,076798089;708;0,038004719;708;0,056593489;;392;0,965324342;;0,965718562
707,5999756;0,354885221;707,5999756;0,004512272;707,5999756;0,077144474;707,5999756;0,038067672;707,5999756;0,056548934;;392,3999939;0,968489826;;0,968884045
707,2000122;0,354855239;707,2000122;0,004740964;707,2000122;0,077601314;707,2000122;0,0381914;707,2000122;0,056623511;;392,7999878;0,971547544;;0,971941764
706,7999878;0,354708344;706,7999878;0,00519465;706,7999878;0,078196988;706,7999878;0,038537055;706,7999878;0,056804355;;393,1999817;0,975566089;;0,975960309
706,4000244;0,35465759;706,4000244;0,005328357;706,4000244;0,078485876;706,4000244;0,038479891;706,4000244;0,05668819;;393,6000061;0,979332686;;0,979726905
706;0,354644537;706;0,005336533;706;0,07881657;706;0,038699232;706;0,056824595;;394;0,983810723;;0,984204942
705,5999756;0,354678839;705,5999756;0,005646084;705,5999756;0,079361551;705,5999756;0,038821809;705,5999756;0,056768954;;394,3999939;0,989129722;;0,989523942
705,2000122;0,354633123;705,2000122;0,005817784;705,2000122;0,079814255;705,2000122;0,03905727;705,2000122;0,056839645;;394,7999878;0,99487704;;0,99527126
704,7999878;0,354563534;704,7999878;0,006100717;704,7999878;0,080334082;704,7999878;0,039237097;704,7999878;0,056984037;;395,1999817;1,000844836;;1,001239056
704,4000244;0,354587674;704,4000244;0,0063033;704,4000244;0,080832884;704,4000244;0,039544851;704,4000244;0,056934573;;395,6000061;1,007881999;;1,008276219
