Baseline 100%T;;Baseline 0%T;;Eva;;Jasmijn;;Mads;;Koen;;F. albivenis (Nicco);;A. thaliana (model);
Wavelength (nm);%T;Wavelength (nm);%T;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
773,5999756;63,77922821;773,5999756;-5,007348061;773,5999756;-0,001684804;773,5999756;-0,013290608;773,5999756;-0,000674065;773,5999756;-0,019928604;773,5999756;0,000313981;773,5999756;0,002136542
773,2000122;63,70791626;773,2000122;-5,001043797;773,2000122;-0,001182775;773,2000122;-0,013162048;773,2000122;-0,001624977;773,2000122;-0,019759947;773,2000122;-7,99E-05;773,2000122;0,000849606
772,7999878;63,65102386;772,7999878;-4,922577858;772,7999878;-0,001941605;772,7999878;-0,014054257;772,7999878;-0,002347867;772,7999878;-0,02129562;772,7999878;0,000412793;772,7999878;0,00250841
772,4000244;63,83798218;772,4000244;-4,985479355;772,4000244;-0,000682077;772,4000244;-0,01242128;772,4000244;-0,000461147;772,4000244;-0,019520352;772,4000244;-2,41E-05;772,4000244;0,001529652
772;63,81858444;772;-5,003958225;772;-0,001106096;772;-0,012787146;772;-0,001524387;772;-0,020290675;772;1,95E-05;772;0,000906411
771,5999756;63,75380325;771,5999756;-4,975534439;771,5999756;-0,001793503;771,5999756;-0,012651648;771,5999756;-0,002092955;771,5999756;-0,019640908;771,5999756;4,82E-05;771,5999756;0,00196499
771,2000122;63,72550201;771,2000122;-4,912055492;771,2000122;-0,001170331;771,2000122;-0,013722765;771,2000122;-0,001777158;771,2000122;-0,02100577;771,2000122;-0,000861303;771,2000122;0,000493952
770,7999878;63,85769653;770,7999878;-5,022531509;770,7999878;-0,000162533;770,7999878;-0,013539487;770,7999878;-0,001277043;770,7999878;-0,019514164;770,7999878;-0,000498226;770,7999878;0,0003181
770,4000244;63,77505493;770,4000244;-4,938518047;770,4000244;-0,001840161;770,4000244;-0,013650477;770,4000244;-0,001437087;770,4000244;-0,020305496;770,4000244;0,000261579;770,4000244;0,000623678
770;63,85834885;770;-4,941657543;770;-0,00105032;770;-0,012978934;770;-0,001491522;770;-0,020918945;770;0,000103582;770;0,000546641
769,5999756;63,8998642;769,5999756;-4,978093624;769,5999756;-0,00133795;769,5999756;-0,012672517;769,5999756;-0,001487085;769,5999756;-0,01964739;769,5999756;0,000221459;769,5999756;0,000842525
769,2000122;63,81881332;769,2000122;-4,937184811;769,2000122;-0,001558177;769,2000122;-0,013507017;769,2000122;-0,002320421;769,2000122;-0,02007594;769,2000122;0,000420203;769,2000122;0,001554072
768,7999878;63,80011368;768,7999878;-4,947769642;768,7999878;-0,001579637;768,7999878;-0,01358505;768,7999878;-0,002640968;768,7999878;-0,020432208;768,7999878;0,000128646;768,7999878;0,000945478
768,4000244;63,73730469;768,4000244;-4,960021496;768,4000244;-0,002621157;768,4000244;-0,014621434;768,4000244;-0,002099653;768,4000244;-0,021118864;768,4000244;-0,000152028;768,4000244;0,001045887
768;63,76328278;768;-4,883619308;768;-0,001965726;768;-0,014459916;768;-0,002276338;768;-0,020707386;768;-3,87E-05;768;0,001147954
