ab-Eva;ab-Jasmijn;ab-Mads;ab-Koen;ab-Nicco;ab-model;flLT-AF;flLT-CE;flLT-HA;flLT-HP;flLT-FA;flLT-AT;flRT-FA;flRT-AT;flRT-AF;flRT-CE;flRT-HA;flRT-HP
-0,000122216;-0,012562584;-0,000984311;-0,020615712;0,000642784;0,002100983;2186230,75;15572172;3667677,5;16268019;8877069;0,652246338;0,261457567;0,195588572;1309475,75;888582,1875;634263,25;595109,125
-6,13E-05;-0,012187517;-0,001278333;-0,020054189;6,35E-05;0,001041631;2223796;15006806;3995188,25;15936104;8807189;0,66688587;0,263082081;0,191102218;1354002,75;829662,6875;673604,625;538099,0625
8,71E-05;-0,012322305;-0,001392604;-0,02097494;0,000687402;0,001016358;2368286;14957221;3980565,25;16174570;8713003;0,691891249;0,262291811;0,188742486;1246075,375;849076,125;570785,6875;491787,8125
-0,001022585;-0,013237783;-0,002045036;-0,020645285;-8,09E-05;0,001663664;2335734,25;15141363;4182397,75;16571981;8596385;0,706651406;0,261365565;0,186986227;1316907,625;806344,8125;574518,625;526877,4375
0,00075251;-0,014024283;-0,001179625;-0,021280486;0,000583551;0,001505286;2520426,25;15118055;4255395,5;16318362;8415775;0,737490345;0,26525587;0,185682201;1226240,5;846573,5;582994,75;505876,4375
0,000372218;-0,011765015;-0,000242484;-0,019707952;0,001162099;0,001465363;2716106,25;15305818;4465638,5;17653122;8584061;0,799024723;0,265013764;0,184799793;1312437,5;822593,875;619856,125;518865,9688
0,00119618;-0,011468228;-0,000220906;-0,019621411;0,000771362;0,002364664;2852353,5;15660153;4726762;18877092;8654372;0,777765463;0,269348737;0,190859112;1293532,875;781972,4375;616871,9375;486506,5938
0,000846701;-0,012576365;-0,001057034;-0,019687073;0,001482999;0,002687392;2971617,25;16105435;4991336;19504938;8933850;0,82972805;0,270960867;0,184988963;1235699,125;779289,5;549086,25;511864,4688
0,000162335;-0,012947779;-0,001011015;-0,020665377;0,001006525;0,001607435;3105232,75;16709868;5138150;20291818;8982707;0,85037456;0,271060532;0,184695846;1245210,25;759322,3125;587328,125;507689,4375
-0,000390651;-0,012420273;-0,000934771;-0,020798596;0,00128042;0,00185059;3483581,5;17424286;5746300,5;21318090;9417086;0,874057634;0,270602454;0,181963023;1283613,375;729442,5625;523862,75;489743,4375
0,00011368;-0,013047567;-0,000995106;-0,020418279;0,000650017;0,001522145;3719026,25;17955910;6287083,5;22539122;9735463;0,917950201;0,276297549;0,182455042;1305509,25;774544,3125;580342,8125;486768,125
0,000116166;-0,012207803;-0,000739915;-0,019591324;-2,26E-05;0,001039815;4040533,5;18307014;6484542,5;23880370;9880046;0,937766005;0,279195928;0,181403878;1268604,375;747463,5;572642,375;511012,25
-0,000105498;-0,012613933;-0,001022895;-0,019581029;0,000446089;0,00160624;4324683;19001220;7020928;25766854;10548740;0,96139618;0,276097073;0,184502295;1254167,25;865774,3125;574729,1875;501803,7813
-0,000700013;-0,011753325;-0,00043808;-0,020438677;0,000336803;0,001674266;4567097,5;20502272;7793154,5;26572678;10893556;0,962814029;0,280212398;0,183837514;1320863,375;807120,6875;559137,4375;491292,8125
7,05E-05;-0,012957679;-0,000871224;-0,021085132;0,00165275;0,001841544;5183904;21741412;7774046;28784866;11616174;0,974526474;0,278919307;0,183355273;1330566,5;791503,6875;590583,75;504405,7813
-0,001019435;-0,013262439;-0,001913721;-0,021419283;0,001033146;0,001976042;5378654,5;22353404;8727895;30894894;12314238;0,997364014;0,282128482;0,185101924;1327303;746061,125;565334,5625;486371,0313
-0,000177852;-0,01247018;-0,000880317;-0,020956637;0,000474257;0,001007018;5728202,5;24252732;9546481;31881018;13560348;1;0,290829164;0,186646454;1355756,5;808728,3125;531018,625;487808,3438
0,000709544;-0,012145884;-0,000671635;-0,020031745;0,001541654;0,002331766;5982109;24866376;9860694;34918216;14296392;0,989104274;0,290056271;0,187245193;1270037,125;846253,8125;559833;552858,5
0,000514374;-0,012625148;-0,000696912;-0,020676089;0,001583714;0,001655037;6524420,5;26357636;10166060;37099568;15115627;0,994279284;0,294281386;0,187511131;1344602,625;797988,125;576619;554980,875
0,000652869;-0,012304691;-0,001426044;-0,020253122;0,001063921;0,001967252;6614374;27942622;10593342;38263556;16359326;0,964488798;0,298456899;0,187729853;1374604,125;747376,0625;656895,4375;524880,4375
0,00096369;-0,012320695;-0,001112396;-0,019410456;0,000480995;0,000577667;7089084,5;29426260;11014605;40394492;18204702;0,982188976;0,298025332;0,19013566;1425122,625;874485,0625;545298,4375;591302,25
0,00073607;-0,012657783;-0,000494865;-0,020389086;0,002164638;0,002944314;7219112;30157582;11031530;41903988;19353926;0,928429365;0,298042094;0,187673407;1413561,125;758016,8125;662432,25;560104,375
0,001630898;-0,012088941;-0,000206521;-0,019555889;0,000575801;0,001795819;7588796;31273580;11195341;42555064;21287556;0,953133811;0,300141738;0,191346898;1435193,75;834088,5625;592196,3125;507173,0938
0,000810469;-0,011832681;-0,000861975;-0,020795437;0,000356208;0,000729665;7730979,5;32411252;11919807;44305500;22380368;0,91312918;0,297795353;0,191794452;1257106,5;814912,4375;588761,1875;484955,4688
0,00114785;-0,012453529;-0,00071247;-0,020470288;0,001460714;0,002168202;7803562;33138354;11720843;44469456;24528388;0,908433201;0,301917673;0,190203664;1282595,875;811686,875;651710,625;460859,9688
0,001252615;-0,011614379;-0,000644186;-0,019600231;0,001059717;0,002295202;7988000;35185616;11744503;45992508;26310184;0,895164509;0,304059221;0,196933561;1399829,875;859327,5625;609538,875;540318,5625
0,002314278;-0,011390116;-0,000402961;-0,01937139;-5,43E-05;0,001099992;8105580;34809104;11351016;46390084;28234288;0,867552695;0,307027915;0,190513086;1364474,5;782983,4375;588239,4375;552193,75
0,001877134;-0,011276226;0,000588891;-0,018947052;0,001138039;0,002240635;8091556;35704936;11475482;47526864;30741976;0,842080905;0,305492599;0,193101034;1393322,375;826021,625;599450;587049,1875
0,002230279;-0,010901864;0,000328462;-0,019384116;0,000766564;0,001869048;8157200,5;36899088;11856132;46440436;32964892;0,847150328;0,303743243;0,1892958;1289681,125;929416,9375;570891,375;515939,2813
0,001813495;-0,012200806;-0,000379426;-0,020595765;0,001211702;0,001504429;7885992,5;37553496;11628495;46786868;35780860;0,804244955;0,301890991;0,187804898;1312963,125;763541,0625;591738,4375;586002,75
